Player,Tm,MP
George Hill,IND,1267
Jordan Hill,LAL,1874
Solomon Hill,IND,2381
Kirk Hinrich,CHI,1610
Jrue Holiday,NOP,1303
Justin Holiday,GSW,657
Ryan Hollins,SAC,441
Rodney Hood,UTA,1064
Al Horford,ATL,2318
Dwight Howard,HOU,1223
Lester Hudson,LAC,56
Robbie Hummel,MIN,742
Kris Humphries,WAS,1345
Serge Ibaka,OKC,2116
Andre Iguodala,GSW,2069
Ersan Ilyasova,MIL,1319
Joe Ingles,UTA,1673
Kyrie Irving,CLE,2730
Jarrett Jack,BRK,2241
Reggie Jackson,TOT,2268
Bernard James,DAL,158
LeBron James,CLE,2493
Al Jefferson,CHO,1992
Cory Jefferson,BRK,531
Richard Jefferson,DAL,1244
John Jenkins,ATL,297
Brandon Jennings,DET,1173
Jonas Jerebko,TOT,1230
Grant Jerrett,TOT,51
Amir Johnson,TOR,1979
Chris Johnson,TOT,526
James Johnson,TOR,1370
Joe Johnson,BRK,2791
Nick Johnson,HOU,262
Tyler Johnson,MIA,603
Wesley Johnson,LAL,2245
Dahntay Jones,LAC,123
James Jones,CLE,669
Perry Jones,OKC,631
Terrence Jones,HOU,889
DeAndre Jordan,LAC,2820
Jerome Jordan,BRK,383
Cory Joseph,SAS,1444
Chris Kaman,POR,1398
Enes Kanter,TOT,2135
Sergey Karasev,BRK,555
Ryan Kelly,LAL,1233
Michael Kidd-Gilchrist,CHO,1587
Sean Kilpatrick,MIN,72
Andrei Kirilenko,BRK,36
Alex Kirk,CLE,14
Brandon Knight,TOT,2035
Kyle Korver,ATL,2418
Kosta Koufos,MEM,1348
Ognjen Kuzmic,GSW,72
Jeremy Lamb,OKC,633
Carl Landry,SAC,1192
Shane Larkin,NYK,1865
Joffrey Lauvergne,DEN,268
Zach LaVine,MIN,1902
Ty Lawson,DEN,2665
Ricky Ledo,TOT,244
Courtney Lee,MEM,2354
David Lee,GSW,904
Malcolm Lee,PHI,2
Alex Len,PHO,1518
Kawhi Leonard,SAS,2033
Meyers Leonard,POR,847
Jon Leuer,MEM,824
Damian Lillard,POR,2925
Jeremy Lin,LAL,1907
Shaun Livingston,GSW,1468
Brook Lopez,BRK,2100
Robin Lopez,POR,1638
Kevin Love,CLE,2532
Kyle Lowry,TOR,2414
Kalin Lucas,MEM,6
John Lucas III,DET,272
Shelvin Mack,ATL,833
Ian Mahinmi,IND,1146
Devyn Marble,ORL,208
Shawn Marion,CLE,1101
Kendall Marshall,MIL,417
Cartier Martin,DET,198
Kenyon Martin,MIL,104
Kevin Martin,MIN,1302
Wesley Matthews,POR,2024
Jason Maxiell,CHO,878
O.J. Mayo,MIL,1697
Luc Mbah a Moute,PHI,1916
James Michael McAdoo,GSW,137
Ray McCallum,SAC,1436
C.J. McCollum,POR,973
K.J. McDaniels,TOT,1352
Doug McDermott,CHI,321
Mitch McGary,OKC,485
JaVale McGee,TOT,256
Ben McLemore,SAC,2670
Jerel McNeal,PHO,36
Josh McRoberts,MIA,296
Jodie Meeks,DET,1462
Gal Mekel,NOP,43
Khris Middleton,MIL,2378
C.J. Miles,IND,1841
Andre Miller,TOT,1253
Darius Miller,NOP,43
Mike Miller,CLE,701
Quincy Miller,TOT,119
Patty Mills,SAS,801
Elijah Millsap,UTA,924
Paul Millsap,ATL,2390
Nikola Mirotic,CHI,1654
Nazr Mohammed,CHI,128
Greg Monroe,DET,2137
E'Twaun Moore,CHI,504
Eric Moreland,SAC,2
Darius Morris,BRK,299
Marcus Morris,PHO,2045
Markieff Morris,PHO,2581
Anthony Morrow,OKC,1806
Donatas Motiejunas,HOU,2037
Timofey Mozgov,TOT,2045
Shabazz Muhammad,MIN,866
Toure' Murry,TOT,18
Mike Muscala,ATL,502
Shabazz Napier,MIA,1012
Gary Neal,TOT,1193
Jameer Nelson,TOT,1407
Andrew Nicholson,ORL,492
Joakim Noah,CHI,2049
Nerlens Noel,PHI,2311
Lucas Nogueira,TOR,23
Steve Novak,TOT,197
Dirk Nowitzki,DAL,2282
Jusuf Nurkic,DEN,1103
Johnny O'Bryant,MIL,368
Kyle O'Quinn,ORL,824
Victor Oladipo,ORL,2573
Kelly Olynyk,BOS,1423
Arinze Onuaku,MIN,68
Zaza Pachulia,MIL,1730
Kostas Papanikolaou,HOU,795
Jannero Pargo,CHO,73
Jabari Parker,MIL,738
Tony Parker,SAS,1953
Chandler Parsons,DAL,2186
Patrick Patterson,TOR,2156
Chris Paul,LAC,2857
Adreian Payne,TOT,739
Elfrid Payton,ORL,2489
Nikola Pekovic,MIN,815
Kendrick Perkins,TOT,1148
Paul Pierce,WAS,1914
Mason Plumlee,BRK,1743
Miles Plumlee,TOT,1194
Quincy Pondexter,TOT,1793
Otto Porter,WAS,1432
Dwight Powell,TOT,236
Phil Pressey,BOS,600
A.J. Price,TOT,324
Ronnie Price,LAL,982
Pablo Prigioni,TOT,1197
Tayshaun Prince,TOT,1397
Miroslav Raduljica,MIN,23
Julius Randle,LAL,14
Shavlik Randolph,TOT,126
Zach Randolph,MEM,2304
J.J. Redick,LAC,2409
Glen Rice,WAS,43
Jason Richardson,PHI,416
Luke Ridnour,ORL,683
Austin Rivers,TOT,1563
Andre Roberson,OKC,1286
Brian Roberts,CHO,1330
Glenn Robinson,TOT,261
Nate Robinson,TOT,591
Thomas Robinson,TOT,798
Rajon Rondo,TOT,2018
Derrick Rose,CHI,1530
Terrence Ross,TOR,2092
Ricky Rubio,MIN,692
Damjan Rudez,IND,1047
Brandon Rush,GSW,271
Robert Sacre,LAL,1133
John Salmons,NOP,270
JaKarr Sampson,PHI,1131
Larry Sanders,MIL,586
Dennis Schroder,ATL,1516
Luis Scola,IND,1659
Mike Scott,ATL,1123
Thabo Sefolosha,ATL,976
Kevin Seraphin,WAS,1235
Ramon Sessions,TOT,1188
Iman Shumpert,TOT,1545
Alexey Shved,TOT,767
Henry Sims,PHI,1399
Kyle Singler,TOT,1743
Donald Sloan,IND,1107
Marcus Smart,BOS,1808
Greg Smith,DAL,363
Ish Smith,TOT,832
J.R. Smith,TOT,2080
Jason Smith,NYK,1785
Josh Smith,TOT,2300
Russ Smith,TOT,65
Tony Snell,CHI,1412
Marreese Speights,GSW,1207
Tiago Splitter,SAS,1030
Nik Stauskas,SAC,1127
Lance Stephenson,CHO,1573
Greg Stiemsma,TOR,66
David Stockton,SAC,33
Jarnell Stokes,MEM,126
Amar'e Stoudemire,TOT,1245
Rodney Stuckey,IND,1874
Jared Sullinger,BOS,1566
Jeffery Taylor,CHO,430
Jeff Teague,ATL,2228
Mirza Teletovic,BRK,892
Sebastian Telfair,OKC,327
Garrett Temple,WAS,735
Jason Terry,HOU,1641
Isaiah Thomas,TOT,1726
Lance Thomas,TOT,1490
Malcolm Thomas,PHI,194
Tyrus Thomas,MEM,7
Hollis Thompson,PHI,1776
Jason Thompson,SAC,1991
Klay Thompson,GSW,2455
Tristan Thompson,CLE,2194
Marcus Thornton,TOT,721
Anthony Tolliver,TOT,1432
P.J. Tucker,PHO,2383
Ronny Turiaf,MIN,19
Hedo Turkoglu,LAC,705
Evan Turner,BOS,2260
Ekpe Udoh,LAC,128
Beno Udrih,MEM,1494
Jonas Valanciunas,TOR,2096
Anderson Varejao,CLE,636
Greivis Vasquez,TOR,1991
Charlie Villanueva,DAL,678
Noah Vonleh,CHO,259
Nikola Vucevic,ORL,2529
Dwyane Wade,MIA,1971
Dion Waiters,TOT,2208
Henry Walker,MIA,628
Kemba Walker,CHO,2119
John Wall,WAS,2837
Gerald Wallace,BOS,286
T.J. Warren,PHO,614
C.J. Watson,IND,1422
David Wear,SAC,7
Travis Wear,NYK,672
Martell Webster,WAS,352
David West,IND,1895
Russell Westbrook,OKC,2302
Hassan Whiteside,MIA,1142
Shayne Whittington,IND,108
Andrew Wiggins,MIN,2969
C.J. Wilcox,LAC,101
Deron Williams,BRK,2114
Derrick Williams,SAC,1462
Elliot Williams,TOT,119
Lou Williams,TOR,2016
Marvin Williams,CHO,2035
Mo Williams,TOT,1980
Reggie Williams,SAS,105
Shawne Williams,TOT,1087
Jeff Withey,NOP,259
Nate Wolters,TOT,247
Brandan Wright,TOT,1449
Dorell Wright,POR,592
Tony Wroten,PHI,895
James Young,BOS,332
Nick Young,LAL,1000
Thaddeus Young,TOT,2434
Cody Zeller,CHO,1487
Tyler Zeller,BOS,1731
