"Season","wOBA","wOBAScale","wBB","wHBP","w1B","w2B","w3B","wHR","runSB","runCS","R/PA","R/W","cFIP"
"1939",".344","1.238",".741",".772",".933","1.305","1.639","2.077",".200","-.438",".124","10.342","2.973"
"1938",".343","1.233",".743",".774",".934","1.304","1.637","2.070",".200","-.443",".126","10.459","2.924"
"1937",".343","1.230",".741",".772",".932","1.301","1.633","2.065",".200","-.442",".126","10.437","3.039"
"1936",".349","1.200",".751",".781",".937","1.296","1.620","2.029",".200","-.464",".131","10.876","3.264"
"1935",".341","1.234",".740",".771",".931","1.301","1.635","2.069",".200","-.442",".125","10.422","3.056"
"1934",".342","1.232",".741",".772",".932","1.302","1.634","2.067",".200","-.443",".126","10.457","3.120"
"1933",".330","1.307",".731",".764",".934","1.326","1.679","2.159",".200","-.409",".116","9.769","2.798"
"1932",".337","1.227",".732",".763",".923","1.291","1.622","2.055",".200","-.440",".125","10.386","3.018"
"1931",".339","1.250",".740",".771",".933","1.308","1.646","2.090",".200","-.436",".124","10.301","3.113"
"1930",".356","1.125",".748",".776",".922","1.260","1.564","1.931",".200","-.492",".141","11.453","3.501"
"1929",".353","1.180",".748",".777",".931","1.284","1.603","2.005",".200","-.464",".132","10.879","3.162"
"1928",".344","1.253",".740",".771",".934","1.310","1.648","2.098",".200","-.427",".122","10.123","2.901"
"1927",".345","1.257",".745",".776",".939","1.316","1.656","2.105",".200","-.431",".123","10.204","3.025"
"1926",".345","1.273",".745",".776",".942","1.324","1.667","2.126",".200","-.423",".120","10.055","2.914"
"1925",".354","1.195",".751",".781",".936","1.295","1.617","2.027",".200","-.459",".131","10.784","3.107"
"1924",".348","1.256",".746",".778",".941","1.318","1.657","2.106",".200","-.430",".123","10.191","3.039"
"1923",".347","1.256",".748",".779",".942","1.319","1.658","2.105",".200","-.433",".124","10.258","2.933"
"1922",".348","1.234",".745",".776",".937","1.307","1.640","2.076",".200","-.438",".125","10.356","3.009"
"1921",".348","1.234",".743",".774",".935","1.305","1.638","2.075",".200","-.436",".125","10.315","3.103"
"1920",".335","1.337",".738",".771",".945","1.346","1.707","2.206",".200","-.397",".114","9.530","2.749"
"1919",".322","1.432",".728",".764",".950","1.380","1.766","2.326",".200","-.363",".103","8.826","2.486"
"1918",".317","1.521",".733",".771",".969","1.425","1.835","2.446",".200","-.342",".097","8.417","2.229"
"1917",".311","1.521",".726",".764",".962","1.418","1.829","2.441",".200","-.340",".097","8.366","2.262"
"1916",".312","1.518",".725",".762",".960","1.415","1.825","2.437",".200","-.338",".096","8.328","2.315"
"1915",".318","1.471",".733",".770",".961","1.402","1.799","2.377",".200","-.359",".103","8.758","2.409"
"1914",".321","1.453",".734",".771",".960","1.395","1.788","2.355",".200","-.364",".105","8.850","2.436"
"1913",".325","1.418",".737",".773",".957","1.383","1.766","2.311",".200","-.376",".109","9.104","2.556"
"1912",".337","1.342",".752",".786",".960","1.363","1.725","2.215",".200","-.414",".120","9.870","2.849"
"1911",".336","1.347",".752",".786",".961","1.365","1.728","2.222",".200","-.412",".119","9.828","2.768"
"1910",".318","1.486",".738",".776",".969","1.415","1.816","2.398",".200","-.361",".103","8.788","2.322"
"1909",".306","1.554",".729",".768",".970","1.437","1.856","2.483",".200","-.339",".097","8.352","2.215"
"1908",".297","1.586",".719",".758",".964","1.440","1.869","2.518",".200","-.327",".093","8.099","2.101"
"1907",".305","1.558",".730",".769",".972","1.439","1.860","2.486",".200","-.341",".097","8.392","2.178"
"1906",".306","1.533",".730",".768",".968","1.427","1.841","2.452",".200","-.348",".099","8.525","2.366"
"1905",".307","1.477",".730",".767",".959","1.402","1.801","2.376",".200","-.367",".106","8.923","2.522"
"1904",".301","1.493",".720",".758",".952","1.399","1.802","2.391",".200","-.357",".102","8.711","2.418"
"1903",".317","1.365",".738",".772",".949","1.359","1.727","2.228",".200","-.411",".118","9.809","2.755"
"1902",".322","1.377",".745",".779",".958","1.371","1.743","2.249",".200","-.410",".117","9.775","2.665"
"1901",".327","1.289",".751",".783",".950","1.337","1.685","2.132",".200","-.453",".130","10.646","2.924"
"1900",".339","1.255",".765",".796",".959","1.336","1.674","2.095",".200","-.474",".136","11.078","2.827"
"1899",".344","1.248",".771",".803",".965","1.339","1.676","2.090",".200","-.481",".138","11.219","2.935"
"1898",".334","1.311",".768",".800",".971","1.364","1.718","2.169",".200","-.456",".131","10.725","2.766"
"1897",".354","1.162",".781",".810",".961","1.309","1.623","1.981",".200","-.529",".151","12.201","3.323"
"1896",".354","1.152",".782",".811",".961","1.306","1.617","1.967",".200","-.538",".154","12.373","3.425"
