RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,year,Player,pos
84.0,"Amir Johnson, PF",TOR,75.0,26.4,0.51,1.32,1.83,5.09,2015,Amir Johnson, PF
85.0,"Darrell Arthur, PF",DEN,58.0,17.0,-2.08,3.91,1.83,2.63,2015,Darrell Arthur, PF
87.0,"Jeremy Lin, PG",LAL,74.0,25.8,1.39,0.27,1.66,4.75,2015,Jeremy Lin, PG
88.0,"Jared Sullinger, C",BOS,58.0,27.0,1.51,0.15,1.66,3.97,2015,Jared Sullinger, C
89.0,"Ty Lawson, PG",DEN,75.0,35.5,3.96,-2.36,1.6,6.75,2015,Ty Lawson, PG
90.0,"Trevor Ariza, SF",HOU,82.0,35.7,-0.78,2.36,1.58,7.28,2015,Trevor Ariza, SF
91.0,"C.J. Miles, SF",IND,70.0,26.3,0.41,1.17,1.58,4.54,2015,C.J. Miles, SF
92.0,"Isaiah Thomas, PG",BOS/PHX,67.0,25.8,4.14,-2.69,1.45,4.16,2015,Isaiah Thomas, PG
94.0,"JJ Redick, SG",LAC,78.0,30.9,1.14,0.26,1.4,5.72,2015,JJ Redick, SG
95.0,"Andre Iguodala, SF",GS,77.0,26.9,0.37,0.99,1.36,4.88,2015,Andre Iguodala, SF
96.0,"C.J. McCollum, SG",POR,62.0,15.7,0.46,0.89,1.35,2.26,2015,C.J. McCollum, SG
97.0,"Pero Antic, PF",ATL,63.0,16.5,-0.12,1.46,1.34,2.35,2015,Pero Antic, PF
98.0,"Nick Collison, PF",OKC,66.0,16.7,-0.83,2.13,1.3,2.54,2015,Nick Collison, PF
99.0,"Alan Anderson, SG",BKN,74.0,23.6,-0.91,2.21,1.3,3.94,2015,Alan Anderson, SG
100.0,"Kentavious Caldwell-Pope, SG",DET,82.0,31.5,1.66,-0.37,1.29,5.78,2015,Kentavious Caldwell-Pope, SG
102.0,"Otto Porter Jr., SF",WSH,74.0,19.4,1.82,-0.59,1.23,3.03,2015,Otto Porter Jr., SF
103.0,"Thaddeus Young, PF",MIN/BKN,76.0,32.0,0.05,1.15,1.2,5.38,2015,Thaddeus Young, PF
104.0,"Reggie Jackson, PG",DET/OKC,77.0,29.5,2.28,-1.1,1.18,4.93,2015,Reggie Jackson, PG
105.0,"Joakim Noah, C",CHI,67.0,30.6,-1.12,2.21,1.09,4.33,2015,Joakim Noah, C
107.0,"Ben McLemore, SG",SAC,82.0,32.6,0.2,0.71,0.91,5.51,2015,Ben McLemore, SG
111.0,"Cory Joseph, PG",SA,79.0,18.3,-0.05,0.93,0.88,2.83,2015,Cory Joseph, PG
112.0,"Joe Johnson, SF",BKN,80.0,34.9,2.11,-1.24,0.87,5.41,2015,Joe Johnson, SF
114.0,"Giannis Antetokounmpo, SF",MIL,81.0,31.4,-0.63,1.5,0.87,5.04,2015,Giannis Antetokounmpo, SF
116.0,"Tristan Thompson, C",CLE,82.0,26.8,1.34,-0.48,0.86,4.25,2015,Tristan Thompson, C
118.0,"J.J. Barea, PG",DAL,77.0,17.7,2.71,-1.93,0.78,2.64,2015,J.J. Barea, PG
119.0,"Kosta Koufos, C",MEM,81.0,16.6,-2.56,3.3,0.74,2.56,2015,Kosta Koufos, C
120.0,"Andre Drummond, C",DET,82.0,30.5,-0.07,0.81,0.74,4.75,2015,Andre Drummond, C
123.0,"Dirk Nowitzki, PF",DAL,77.0,29.6,2.51,-1.89,0.62,4.22,2015,Dirk Nowitzki, PF
124.0,"Nene Hilario, C",WSH,67.0,25.3,-2.31,2.91,0.6,3.04,2015,Nene Hilario, C
125.0,"Tyler Zeller, C",BOS,82.0,21.1,-0.78,1.36,0.58,3.25,2015,Tyler Zeller, C
126.0,"Luis Scola, PF",IND,81.0,20.5,-0.3,0.87,0.57,3.03,2015,Luis Scola, PF
129.0,"Harrison Barnes, SF",GS,82.0,28.3,-0.68,1.23,0.55,4.37,2015,Harrison Barnes, SF
130.0,"Robin Lopez, C",POR,59.0,27.8,-1.21,1.74,0.53,2.94,2015,Robin Lopez, C
131.0,"J.R. Smith, SG",CLE/NY,70.0,29.7,1.02,-0.54,0.48,3.62,2015,J.R. Smith, SG
132.0,"Marvin Williams, PF",CHA,78.0,26.1,-0.6,1.03,0.43,3.48,2015,Marvin Williams, PF
133.0,"Rudy Gay, SF",SAC,68.0,35.4,2.87,-2.46,0.41,4.2,2015,Rudy Gay, SF
134.0,"DeMarre Carroll, SF",ATL,70.0,31.3,0.79,-0.38,0.41,3.75,2015,DeMarre Carroll, SF
135.0,"Nicolas Batum, SG",POR,71.0,33.5,0.26,0.12,0.38,4.08,2015,Nicolas Batum, SG
137.0,"Gerald Henderson, SG",CHA,80.0,28.9,-0.65,1.01,0.36,3.84,2015,Gerald Henderson, SG
139.0,"Patrick Patterson, PF",TOR,81.0,26.6,2.17,-1.83,0.34,3.52,2015,Patrick Patterson, PF
140.0,"Paul Pierce, SF",WSH,73.0,26.2,0.05,0.25,0.3,3.13,2015,Paul Pierce, SF
144.0,"Jason Terry, SG",HOU,77.0,21.3,-0.19,0.36,0.17,2.65,2015,Jason Terry, SG
146.0,"Aron Baynes, C",SA,70.0,16.0,-1.13,1.25,0.12,1.75,2015,Aron Baynes, C
148.0,"Donatas Motiejunas, PF",HOU,71.0,28.7,-1.04,1.13,0.09,3.13,2015,Donatas Motiejunas, PF
149.0,"Boris Diaw, C",SA,81.0,24.5,-0.2,0.26,0.06,2.93,2015,Boris Diaw, C
152.0,"Roy Hibbert, C",IND,76.0,25.3,-2.44,2.43,-0.01,2.73,2015,Roy Hibbert, C
153.0,"David West, PF",IND,66.0,28.7,-1.06,1.0,-0.06,2.68,2015,David West, PF
154.0,"Alexis Ajinca, C",NO,68.0,14.1,-1.01,0.9,-0.11,1.27,2015,Alexis Ajinca, C
155.0,"Chris Andersen, PF",MIA,60.0,18.9,-2.08,1.94,-0.14,1.51,2015,Chris Andersen, PF
156.0,"Wayne Ellington, SG",LAL,65.0,25.8,-0.69,0.53,-0.16,2.2,2015,Wayne Ellington, SG
158.0,"DeMar DeRozan, SG",TOR,60.0,35.0,0.21,-0.39,-0.18,2.81,2015,DeMar DeRozan, SG
160.0,"James Ennis, SF",MIA,62.0,17.0,0.11,-0.36,-0.25,1.31,2015,James Ennis, SF
