AST%_advanced,Age,BLK%_advanced,BPM_advanced,DBPM_advanced,DRB%_advanced,DWS_advanced,G_advanced,MP_advanced,OBPM_advanced,ORB%_advanced,OWS_advanced,PER_advanced,Player,Pos,Rk_advanced,STL%_advanced,TRB%_advanced,Tm,USG%_advanced,VORP_advanced,WS/48_advanced,WS_advanced,type,year
6.1,28,3.7,-2.4,-1,14.7,0.7,42,1257,-1.4,6.3,0.8,14.5,Andrea Bargnani,C,32,0.6,10.4,NYK,22.4,-0.1,0.058,1.5,advanced,2014
7.6,21,0.7,-1.4,0.9,11.9,2.8,78,2204,-2.3,3.3,0.4,9.8,Harrison Barnes,SF,33,1.5,7.7,GSW,16.8,0.3,0.07,3.2,advanced,2014
10.6,33,1.2,1.5,0.8,14.4,2,63,1735,0.7,4,1.5,12,Matt Barnes,SF,34,1.6,9.3,LAC,16.6,1.5,0.097,3.5,advanced,2014
13.3,23,1.3,-2.7,-0.7,16,0.4,41,387,-1.9,4.5,0.3,13.5,Will Barton,SG,35,1.2,10.3,POR,21.2,-0.1,0.078,0.6,advanced,2014
6.4,28,2.4,-1.2,0.2,15.9,1.9,82,2266,-1.3,7.8,3.2,15,Brandon Bass,PF,36,0.8,11.8,BOS,18.2,0.5,0.107,5.1,advanced,2014
6,35,2.3,0.8,0.7,8.6,1.4,73,1468,0.1,3,1,8.7,Shane Battier,SF,37,1.8,5.9,MIA,10,1.1,0.078,2.4,advanced,2014
20.9,25,1.3,4.2,1.8,17.8,3.1,82,2956,2.4,4.3,4.8,15.8,Nicolas Batum,SF,38,1.3,11.1,POR,16.5,4.6,0.128,7.9,advanced,2014
18.5,25,0.4,-1.8,-1.4,8.6,1.3,72,1686,-0.4,1.5,1.1,12,Jerryd Bayless,PG,39,1.9,5,TOT,20.1,0.1,0.069,2.4,advanced,2014
9.9,27,0.7,-4,-0.3,19.4,0.6,53,491,-3.7,13.6,-0.1,9.7,Aron Baynes,C,40,0.2,16.6,SAS,19.2,-0.2,0.055,0.6,advanced,2014
15.7,24,1,-2.5,-0.4,12.6,0.8,67,911,-2.1,1.2,-0.6,11.2,Kent Bazemore,SG,41,2.3,6.9,TOT,22.6,-0.1,0.011,0.2,advanced,2014
16,20,0.6,-1.1,-1.3,10.2,2.4,73,2530,0.2,2.4,1.6,14.3,Bradley Beal,SG,42,1.4,6.3,WAS,24.3,0.5,0.076,4,advanced,2014
8.8,25,2.2,-3.5,-1.2,20.5,1.1,55,831,-2.2,4.9,0.5,16.8,Michael Beasley,SF,43,1.5,13,MIA,25.7,-0.3,0.092,1.6,advanced,2014
13.2,27,0.3,1.7,-0.3,11.2,2.4,80,2016,1.9,1,3.5,15,Marco Belinelli,SF,44,1.3,6.3,SAS,19,1.9,0.14,5.9,advanced,2014
4,20,1,-7.3,-1.5,18.4,0.7,52,663,-5.8,8.1,-1.1,6.9,Anthony Bennett,PF,45,1.6,13.1,CLE,20.3,-0.9,-0.028,-0.4,advanced,2014
12.8,25,1,2.5,0.6,7.4,1.6,56,1751,1.9,4.9,2.7,12.4,Patrick Beverley,PG,46,2.2,6.2,HOU,14.8,2,0.116,4.2,advanced,2014
0,27,0,-15,-4.3,39.7,0,6,45,-10.7,5,-0.1,2.4,Andris Biedrins,C,47,0,21.8,UTA,5.7,-0.1,-0.033,0,advanced,2014
18.7,37,0.3,-6.3,-2.4,8.9,0.1,19,309,-3.8,1.3,-0.3,5.3,Chauncey Billups,SG,48,1.3,4.9,DET,15.1,-0.3,-0.042,-0.3,advanced,2014
