pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SI,8/11/17,93.3,2.3927,5.5047,Marco Gonzales,455117,594835,null,foul,,,,,5,null,R,R,L,SEA,LAA,S,null,null,2,0,2017,1.3147,1.5059,0.2039,2.5057,null,null,null,0,3,Top,null,null,,,572287,,null,-8.4746,-135.184,-5.1603,17.9916,31.0917,-12.8395,3.2884,1.339,184,73.9,26.5,92.774,2243,6.331,491827,594835,572287,475174,429664,572122,516416,592325,502481,547982,54.1676,null,null,null,null,null,null,null,15,3,Sinker,1,1,1,1,1,1,1,1,Standard,Standard
SI,9/12/17,93.3,2.065,5.7573,Marco Gonzales,455139,594835,null,ball,,,,,11,null,R,R,L,TEX,SEA,B,null,null,0,1,2017,0.5186,1.4935,-1.1984,2.4631,null,null,608577,1,2,Bot,null,null,,,572287,,null,-9.5029,-135.3056,-5.9683,8.344,27.6877,-12.7237,3.1321,1.6496,null,null,null,93.334,2306,6.346,492268,594835,572287,475174,429664,572122,516416,592325,628338,571745,54.1508,null,null,null,null,null,null,null,16,2,Sinker,0,4,0,4,4,0,0,4,Standard,Standard
SI,8/11/17,93.2,2.2999,5.5984,Marco Gonzales,455117,594835,null,foul,,,,,9,null,R,R,L,SEA,LAA,S,null,null,3,1,2017,1.1064,1.4351,0.5617,1.9164,null,null,null,0,3,Top,null,null,,,572287,,null,-6.899,-135.144,-6.812,15.1366,29.8481,-13.2209,3.2884,1.339,null,null,null,93.187,2240,6.498,491827,594835,572287,475174,429664,572122,516416,592325,502481,547982,54.0012,null,null,null,null,null,null,null,15,5,Sinker,1,1,1,1,1,1,1,1,Standard,Standard
SI,8/11/17,93.2,2.6848,5.5917,Marco Gonzales,545361,594835,null,ball,,,,,14,null,R,R,L,SEA,LAA,B,null,null,0,0,2017,1.3298,1.3441,1.1533,2.3892,null,null,null,1,1,Top,null,null,,,572287,,null,-6.7371,-135.1812,-5.2732,17.5777,30.2791,-14.9912,3.6959,1.8178,null,null,null,92.305,2166,5.987,491827,594835,572287,475174,429664,572122,516416,592325,502481,547982,54.5117,null,null,null,null,null,null,null,2,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard
SI,9/29/17,93.2,2.0395,5.9123,Marco Gonzales,408252,594835,null,foul,,,,,1,null,R,R,L,LAA,SEA,S,null,null,2,2,2017,0.8396,1.1646,-0.34,3.2192,null,null,null,0,1,Bot,null,null,,,572287,,null,-7.8316,-135.1994,-3.6332,11.7778,27.3984,-17.5224,3.1079,1.3218,192,76.6,16.6,92.538,2121,5.9,492497,594835,572287,502143,429664,572122,516416,592325,571745,600301,54.5978,null,null,null,null,null,null,null,5,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard
SI,9/2/17,93.2,1.917,5.6166,Marco Gonzales,501981,594835,null,ball,,,,,14,null,R,R,L,SEA,OAK,B,null,null,0,0,2017,1.373,1.4431,1.1612,1.986,null,null,null,2,6,Top,null,null,,,572287,,null,-4.9325,-135.2418,-6.6687,17.924,30.333,-13.2222,3.7943,1.8021,null,null,null,92.961,2197,6.357,492127,594835,572287,475174,429664,572122,516416,592325,628338,571745,54.1417,null,null,null,null,null,null,null,55,1,Sinker,4,6,6,4,6,4,6,4,Standard,Standard
SI,9/2/17,93.1,2.0001,5.6854,Marco Gonzales,656305,594835,null,ball,,,,,11,null,R,R,L,SEA,OAK,B,null,null,0,2,2017,0.7065,1.7559,-1.0114,3.1333,null,null,640461,0,5,Top,null,null,,,572287,,null,-9.2188,-134.8765,-4.5067,10.6769,30.9197,-10.089,3.7761,1.7823,null,null,null,92.458,2202,6.263,492127,594835,572287,475174,429664,572122,516416,592325,502481,571745,54.2354,null,null,null,null,null,null,null,44,3,Sinker,2,6,6,2,6,2,6,2,Standard,Standard
SI,9/29/17,93.1,2.1835,5.8432,Marco Gonzales,545361,594835,null,ball,,,,,12,null,R,R,L,LAA,SEA,B,null,null,0,0,2017,0.3478,1.6598,0.7377,4.384,null,null,null,1,1,Bot,null,null,,,572287,,null,-4.3785,-134.6154,-1.4571,5.0887,27.1083,-12.017,3.5534,1.6985,null,null,null,92.39,2155,5.994,492497,594835,572287,502143,429664,572122,516416,592325,571745,600301,54.5034,null,null,null,null,null,null,null,6,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard
SI,9/2/17,93.1,1.868,5.6755,Marco Gonzales,476704,594835,null,ball,,,,,13,null,R,R,L,SEA,OAK,B,null,null,0,1,2017,1.0425,1.7394,-0.9267,2.3108,null,null,null,1,6,Top,null,null,,,572287,,null,-9.4402,-134.8569,-6.6138,14.8342,29.7133,-9.6481,3.5127,1.6767,null,null,null,92.919,2214,6.454,492127,594835,572287,475174,429664,572122,516416,592325,628338,571745,54.0443,null,null,null,null,null,null,null,54,2,Sinker,4,6,6,4,6,4,6,4,Standard,Standard
SI,9/23/17,93.1,2.483,5.5629,Marco Gonzales,457803,594835,null,foul,,,,,3,null,R,L,L,SEA,CLE,S,null,null,2,1,2017,1.2988,1.181,0.5287,2.9667,null,457706,608070,2,5,Top,null,null,,,572287,,null,-7.8138,-135.1474,-3.4441,17.5576,28.8267,-17.2041,3.5352,1.5755,162,67.7,16.5,92.918,2245,6.259,492406,594835,572287,475174,429664,572122,516416,592325,628338,571745,54.2399,null,null,null,null,null,null,null,39,4,Sinker,0,3,3,0,3,0,3,0,Strategic,Standard
