Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Tracy McGrady,22:00,4,7,.571,0,0,,1,2,.500,1,4,5,4,0,0,2,4,9,away,/boxscores/200001170CHH.html
John Thomas,18:00,5,6,.833,0,0,,1,5,.200,2,1,3,0,0,0,0,5,11,away,/boxscores/200001170CHH.html
Antonio Lang,6:00,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,3,0,away,/boxscores/200001170CHH.html
Sean Marks,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,away,/boxscores/200001170CHH.html
Team Totals,240,39,90,.433,1,6,.167,15,24,.625,18,24,42,20,5,4,12,36,94,away,/boxscores/200001170CHH.html
Anthony Mason,45:00,3,8,.375,0,0,,8,10,.800,1,5,6,2,0,1,0,3,14,home,/boxscores/200001170CHH.html
Eddie Jones,43:00,7,13,.538,1,3,.333,10,14,.714,0,6,6,4,5,0,3,4,25,home,/boxscores/200001170CHH.html
Derrick Coleman,41:00,8,16,.500,2,4,.500,6,9,.667,2,9,11,3,0,2,3,2,24,home,/boxscores/200001170CHH.html
David Wesley,34:00,3,7,.429,1,2,.500,2,2,1.000,0,3,3,9,0,0,3,3,9,home,/boxscores/200001170CHH.html
Elden Campbell,31:00,8,11,.727,0,0,,7,11,.636,2,5,7,2,1,2,1,2,23,home,/boxscores/200001170CHH.html
Baron Davis,16:00,1,3,.333,0,0,,3,3,1.000,2,1,3,3,1,0,2,1,5,home,/boxscores/200001170CHH.html
Brad Miller,15:00,1,4,.250,0,0,,4,4,1.000,3,2,5,1,0,0,1,5,6,home,/boxscores/200001170CHH.html
Ricky Davis,8:00,2,4,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,4,home,/boxscores/200001170CHH.html
Eddie Robinson,6:00,2,2,1.000,0,0,,1,2,.500,0,1,1,1,0,0,0,0,5,home,/boxscores/200001170CHH.html
Michael Hawkins,1:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,home,/boxscores/200001170CHH.html
Team Totals,240,35,68,.515,4,9,.444,41,55,.745,10,32,42,27,7,5,13,22,115,home,/boxscores/200001170CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Derrick Coleman,42:00,6,12,.500,0,1,.000,8,8,1.000,3,10,13,1,0,1,3,3,20,away,/boxscores/200001190CHI.html
Anthony Mason,39:00,5,7,.714,0,0,,5,10,.500,3,7,10,2,3,1,0,1,15,away,/boxscores/200001190CHI.html
Eddie Jones,37:00,8,16,.500,1,5,.200,9,13,.692,2,1,3,3,7,0,4,1,26,away,/boxscores/200001190CHI.html
Elden Campbell,33:00,4,12,.333,0,0,,6,6,1.000,2,6,8,1,0,4,2,5,14,away,/boxscores/200001190CHI.html
David Wesley,30:00,1,7,.143,0,4,.000,0,0,,1,8,9,11,0,0,6,2,2,away,/boxscores/200001190CHI.html
Baron Davis,19:00,2,8,.250,0,1,.000,0,0,,0,0,0,6,0,1,5,4,4,away,/boxscores/200001190CHI.html
Brad Miller,18:00,3,8,.375,0,1,.000,1,1,1.000,5,3,8,0,1,1,2,2,7,away,/boxscores/200001190CHI.html
Eddie Robinson,12:00,4,6,.667,0,0,,0,0,,1,1,2,1,0,0,1,2,8,away,/boxscores/200001190CHI.html
Ricky Davis,10:00,0,1,.000,0,0,,0,0,,1,0,1,3,1,0,2,1,0,away,/boxscores/200001190CHI.html
Team Totals,240,33,77,.429,1,12,.083,29,38,.763,18,36,54,28,12,8,25,21,96,away,/boxscores/200001190CHI.html
Elton Brand,38:00,11,21,.524,0,0,,2,4,.500,5,6,11,1,0,3,1,4,24,home,/boxscores/200001190CHI.html
Metta World Peace,36:00,8,14,.571,2,3,.667,1,2,.500,0,1,1,3,5,1,4,3,19,home,/boxscores/200001190CHI.html
Toni Kukoc,35:00,3,14,.214,0,2,.000,6,8,.750,1,5,6,5,3,0,2,3,12,home,/boxscores/200001190CHI.html
Matt Maloney,32:00,3,7,.429,3,5,.600,0,0,,0,1,1,3,3,0,1,0,9,home,/boxscores/200001190CHI.html
Dickey Simpkins,24:00,2,4,.500,0,0,,0,2,.000,1,4,5,1,2,0,2,1,4,home,/boxscores/200001190CHI.html
Randy Brown,21:00,2,6,.333,0,0,,1,2,.500,1,3,4,3,2,0,1,2,5,home,/boxscores/200001190CHI.html
Chris Carr,21:00,2,10,.200,0,0,,0,0,,1,0,1,0,2,0,1,4,4,home,/boxscores/200001190CHI.html
Michael Ruffin,13:00,0,1,.000,0,0,,0,0,,2,1,3,1,1,1,0,3,0,home,/boxscores/200001190CHI.html
Chris Anstey,11:00,0,0,,0,0,,4,6,.667,0,3,3,1,1,1,4,5,4,home,/boxscores/200001190CHI.html
Corey Benjamin,5:00,2,5,.400,1,2,.500,0,0,,1,0,1,1,0,1,0,1,5,home,/boxscores/200001190CHI.html
Will Perdue,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,home,/boxscores/200001190CHI.html
Team Totals,240,33,83,.398,6,12,.500,14,24,.583,12,24,36,19,19,7,17,26,86,home,/boxscores/200001190CHI.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Allen Iverson,45:00,15,26,.577,1,2,.500,4,7,.571,1,4,5,2,0,0,6,4,35,away,/boxscores/200001200CHH.html
Tyrone Hill,34:00,7,10,.700,0,0,,3,6,.500,2,5,7,1,1,0,1,5,17,away,/boxscores/200001200CHH.html
Eric Snow,34:00,3,9,.333,0,0,,2,2,1.000,1,2,3,7,4,0,1,2,8,away,/boxscores/200001200CHH.html
Theo Ratliff,26:00,2,9,.222,0,0,,2,2,1.000,2,4,6,0,2,4,1,3,6,away,/boxscores/200001200CHH.html
George Lynch,24:00,6,8,.750,1,1,1.000,3,3,1.000,1,4,5,2,0,0,0,5,16,away,/boxscores/200001200CHH.html
Aaron McKie,23:00,0,5,.000,0,2,.000,1,2,.500,0,2,2,3,0,1,0,2,1,away,/boxscores/200001200CHH.html
Billy Owens,20:00,1,5,.200,0,1,.000,0,0,,2,2,4,2,1,1,0,4,2,away,/boxscores/200001200CHH.html
Matt Geiger,18:00,1,6,.167,0,0,,2,2,1.000,2,3,5,0,0,0,4,4,4,away,/boxscores/200001200CHH.html
Larry Hughes,15:00,4,9,.444,0,0,,3,5,.600,2,1,3,0,0,0,0,4,11,away,/boxscores/200001200CHH.html
Bruce Bowen,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,away,/boxscores/200001200CHH.html
Team Totals,240,39,87,.448,2,6,.333,20,29,.690,13,27,40,17,8,6,13,33,100,away,/boxscores/200001200CHH.html
Eddie Jones,43:00,5,18,.278,1,5,.200,12,13,.923,0,3,3,8,4,0,2,5,23,home,/boxscores/200001200CHH.html
Anthony Mason,37:00,2,3,.667,0,0,,6,10,.600,3,6,9,5,2,0,2,4,10,home,/boxscores/200001200CHH.html
Derrick Coleman,34:00,6,14,.429,1,2,.500,10,11,.909,1,6,7,5,1,4,1,1,23,home,/boxscores/200001200CHH.html
David Wesley,32:00,6,12,.500,3,6,.500,0,0,,0,6,6,4,0,0,4,3,15,home,/boxscores/200001200CHH.html
Elden Campbell,32:00,5,9,.556,0,0,,0,0,,1,0,1,1,0,5,0,2,10,home,/boxscores/200001200CHH.html
Ricky Davis,20:00,4,5,.800,0,0,,5,6,.833,2,5,7,3,1,1,0,3,13,home,/boxscores/200001200CHH.html
Brad Miller,18:00,2,4,.500,0,0,,5,6,.833,2,5,7,0,0,2,2,1,9,home,/boxscores/200001200CHH.html
Baron Davis,18:00,3,7,.429,0,1,.000,0,0,,0,2,2,1,0,0,1,1,6,home,/boxscores/200001200CHH.html
Dale Ellis,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,home,/boxscores/200001200CHH.html
Team Totals,240,33,72,.458,5,14,.357,38,46,.826,9,33,42,27,8,12,13,21,109,home,/boxscores/200001200CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Kenny Anderson,44:00,4,15,.267,0,4,.000,3,4,.750,1,3,4,8,0,0,2,3,11,away,/boxscores/200001220CHH.html
Antoine Walker,39:00,5,15,.333,1,3,.333,0,0,,1,5,6,4,0,1,3,5,11,away,/boxscores/200001220CHH.html
Vitaly Potapenko,29:00,8,15,.533,0,0,,2,3,.667,7,4,11,0,2,2,1,1,18,away,/boxscores/200001220CHH.html
Walter McCarty,22:00,3,5,.600,0,1,.000,0,0,,1,1,2,1,1,1,3,5,6,away,/boxscores/200001220CHH.html
Paul Pierce,11:00,2,4,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,4,away,/boxscores/200001220CHH.html
Dana Barros,26:00,5,12,.417,1,5,.200,3,4,.750,0,3,3,1,1,0,1,4,14,away,/boxscores/200001220CHH.html
Doug Overton,25:00,4,8,.500,0,0,,0,0,,0,2,2,4,1,0,5,2,8,away,/boxscores/200001220CHH.html
Danny Fortson,23:00,7,11,.636,0,0,,2,2,1.000,3,7,10,0,0,0,1,5,16,away,/boxscores/200001220CHH.html
Tony Battie,21:00,4,7,.571,0,0,,0,0,,1,1,2,1,2,0,1,4,8,away,/boxscores/200001220CHH.html
Team Totals,240,42,92,.457,2,13,.154,10,13,.769,14,27,41,19,7,4,17,30,96,away,/boxscores/200001220CHH.html
Anthony Mason,40:00,2,4,.500,0,0,,3,4,.750,1,10,11,8,0,2,1,3,7,home,/boxscores/200001220CHH.html
Eddie Jones,35:00,6,15,.400,1,4,.250,5,7,.714,1,2,3,3,2,0,1,2,18,home,/boxscores/200001220CHH.html
Derrick Coleman,32:00,8,11,.727,2,2,1.000,6,8,.750,2,9,11,0,1,3,3,3,24,home,/boxscores/200001220CHH.html
David Wesley,29:00,4,10,.400,0,2,.000,4,4,1.000,0,2,2,8,1,0,1,1,12,home,/boxscores/200001220CHH.html
Elden Campbell,28:00,7,9,.778,0,0,,2,3,.667,1,1,2,1,0,3,3,5,16,home,/boxscores/200001220CHH.html
Brad Miller,23:00,5,9,.556,0,0,,6,9,.667,3,4,7,0,1,0,1,2,16,home,/boxscores/200001220CHH.html
Ricky Davis,21:00,4,7,.571,0,0,,2,2,1.000,0,1,1,5,1,1,0,0,10,home,/boxscores/200001220CHH.html
Baron Davis,19:00,2,6,.333,1,2,.500,0,0,,0,1,1,6,2,0,3,2,5,home,/boxscores/200001220CHH.html
Dale Ellis,13:00,1,4,.250,0,1,.000,0,0,,0,2,2,0,0,0,1,1,2,home,/boxscores/200001220CHH.html
Team Totals,240,39,75,.520,4,11,.364,28,37,.757,8,32,40,31,8,9,14,19,110,home,/boxscores/200001220CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Chris Webber,38:00,13,23,.565,0,1,.000,4,5,.800,1,10,11,3,1,1,3,5,30,away,/boxscores/200001250CHH.html
Nick Anderson,38:00,11,16,.688,3,3,1.000,4,4,1.000,1,2,3,4,2,0,5,0,29,away,/boxscores/200001250CHH.html
Jason Williams,36:00,6,15,.400,3,8,.375,0,0,,0,4,4,9,3,0,4,4,15,away,/boxscores/200001250CHH.html
Vlade Divac,31:00,2,7,.286,0,0,,3,5,.600,0,12,12,6,2,3,2,3,7,away,/boxscores/200001250CHH.html
Corliss Williamson,11:00,2,2,1.000,0,0,,0,0,,1,0,1,2,1,0,1,5,4,away,/boxscores/200001250CHH.html
Tyrone Corbin,30:00,4,8,.500,1,2,.500,0,0,,0,4,4,1,1,0,2,2,9,away,/boxscores/200001250CHH.html
Scot Pollard,19:00,0,2,.000,0,0,,0,0,,1,3,4,2,1,1,2,5,0,away,/boxscores/200001250CHH.html
Jon Barry,17:00,2,3,.667,1,1,1.000,1,1,1.000,0,0,0,2,1,0,1,2,6,away,/boxscores/200001250CHH.html
Darrick Martin,12:00,3,6,.500,1,2,.500,1,2,.500,0,1,1,2,0,0,1,0,8,away,/boxscores/200001250CHH.html
Lawrence Funderburke,8:00,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,0,0,2,away,/boxscores/200001250CHH.html
Team Totals,240,44,83,.530,9,17,.529,13,17,.765,5,37,42,32,12,5,21,26,110,away,/boxscores/200001250CHH.html
Eddie Jones,40:00,5,18,.278,1,4,.250,0,0,,1,5,6,9,1,0,2,2,11,home,/boxscores/200001250CHH.html
Anthony Mason,37:00,6,7,.857,0,0,,4,5,.800,0,6,6,1,1,0,4,4,16,home,/boxscores/200001250CHH.html
Derrick Coleman,36:00,9,20,.450,1,4,.250,5,5,1.000,3,5,8,5,2,6,6,3,24,home,/boxscores/200001250CHH.html
Elden Campbell,34:00,3,8,.375,0,0,,6,9,.667,3,8,11,2,0,0,2,1,12,home,/boxscores/200001250CHH.html
David Wesley,33:00,6,14,.429,2,5,.400,2,3,.667,0,4,4,3,3,0,1,1,16,home,/boxscores/200001250CHH.html
Dale Ellis,19:00,2,5,.400,2,4,.500,0,0,,1,1,2,1,1,0,2,2,6,home,/boxscores/200001250CHH.html
Baron Davis,18:00,5,7,.714,1,1,1.000,0,1,.000,1,1,2,5,1,0,1,2,11,home,/boxscores/200001250CHH.html
Brad Miller,15:00,0,3,.000,0,0,,1,2,.500,1,2,3,0,0,0,1,0,1,home,/boxscores/200001250CHH.html
Ricky Davis,8:00,1,4,.250,0,0,,0,0,,0,0,0,0,1,0,0,1,2,home,/boxscores/200001250CHH.html
Team Totals,240,37,86,.430,7,18,.389,18,25,.720,10,32,42,26,10,6,19,16,99,home,/boxscores/200001250CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Jerry Stackhouse,44:00,11,23,.478,1,3,.333,11,14,.786,3,1,4,6,4,0,7,2,34,away,/boxscores/200001270CHH.html
Terry Mills,40:00,4,7,.571,3,5,.600,0,0,,0,6,6,3,2,0,2,2,11,away,/boxscores/200001270CHH.html
Grant Hill,39:00,9,19,.474,1,3,.333,9,9,1.000,0,5,5,4,2,0,2,2,28,away,/boxscores/200001270CHH.html
Lindsey Hunter,38:00,3,6,.500,3,5,.600,0,0,,1,3,4,5,1,0,3,4,9,away,/boxscores/200001270CHH.html
Christian Laettner,22:00,5,9,.556,0,0,,0,0,,1,4,5,2,0,0,2,3,10,away,/boxscores/200001270CHH.html
Jerome Williams,19:00,0,2,.000,0,0,,0,0,,1,6,7,1,0,0,1,2,0,away,/boxscores/200001270CHH.html
Michael Curry,16:00,1,2,.500,0,0,,2,4,.500,0,0,0,1,1,0,2,5,4,away,/boxscores/200001270CHH.html
John Crotty,13:00,2,4,.500,0,0,,0,0,,0,0,0,2,0,0,2,1,4,away,/boxscores/200001270CHH.html
Loy Vaught,5:00,0,2,.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,1,2,away,/boxscores/200001270CHH.html
Eric Montross,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,away,/boxscores/200001270CHH.html
Jud Buechler,2:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,away,/boxscores/200001270CHH.html
Team Totals,240,35,74,.473,8,16,.500,24,29,.828,7,27,34,24,10,0,21,23,102,away,/boxscores/200001270CHH.html
Derrick Coleman,36:00,11,20,.550,0,3,.000,2,2,1.000,2,3,5,8,0,1,1,2,24,home,/boxscores/200001270CHH.html
Eddie Jones,34:00,10,19,.526,3,6,.500,2,3,.667,3,2,5,5,7,2,4,3,25,home,/boxscores/200001270CHH.html
David Wesley,32:00,8,13,.615,4,5,.800,4,4,1.000,1,2,3,3,0,0,1,5,24,home,/boxscores/200001270CHH.html
Anthony Mason,32:00,3,8,.375,0,0,,3,6,.500,2,4,6,6,0,0,2,1,9,home,/boxscores/200001270CHH.html
Elden Campbell,25:00,4,8,.500,0,0,,0,0,,1,5,6,1,0,1,2,3,8,home,/boxscores/200001270CHH.html
Brad Miller,24:00,4,6,.667,0,0,,4,5,.800,3,6,9,1,0,0,3,3,12,home,/boxscores/200001270CHH.html
Baron Davis,22:00,3,7,.429,1,2,.500,1,2,.500,0,3,3,6,2,0,2,0,8,home,/boxscores/200001270CHH.html
Eddie Robinson,19:00,3,4,.750,0,0,,0,0,,1,3,4,1,0,0,0,2,6,home,/boxscores/200001270CHH.html
Dale Ellis,7:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,home,/boxscores/200001270CHH.html
Ricky Davis,7:00,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,1,0,0,home,/boxscores/200001270CHH.html
Michael Hawkins,1:00,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,home,/boxscores/200001270CHH.html
Todd Fuller,1:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,home,/boxscores/200001270CHH.html
Team Totals,240,46,88,.523,8,16,.500,17,24,.708,14,30,44,31,10,4,16,21,117,home,/boxscores/200001270CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Anfernee Hardaway,37:00,10,15,.667,2,2,1.000,2,4,.500,4,2,6,0,1,0,1,1,24,away,/boxscores/200001290CHH.html
Jason Kidd,37:00,1,10,.100,0,2,.000,2,2,1.000,0,1,1,6,4,0,3,1,4,away,/boxscores/200001290CHH.html
Tom Gugliotta,35:00,6,13,.462,0,0,,1,2,.500,0,11,11,3,2,3,3,6,13,away,/boxscores/200001290CHH.html
Clifford Robinson,34:00,4,11,.364,2,6,.333,5,5,1.000,0,2,2,5,1,1,2,4,15,away,/boxscores/200001290CHH.html
Luc Longley,28:00,2,7,.286,0,0,,0,1,.000,1,3,4,1,0,1,5,5,4,away,/boxscores/200001290CHH.html
Oliver Miller,20:00,1,4,.250,0,0,,0,0,,2,2,4,1,1,0,1,3,2,away,/boxscores/200001290CHH.html
Rex Chapman,16:00,4,5,.800,0,0,,0,0,,0,0,0,1,1,0,0,3,8,away,/boxscores/200001290CHH.html
Randy Livingston,12:00,1,5,.200,1,3,.333,0,0,,0,2,2,1,0,0,2,2,3,away,/boxscores/200001290CHH.html
Rodney Rogers,8:00,1,5,.200,0,0,,1,1,1.000,0,1,1,0,0,1,1,1,3,away,/boxscores/200001290CHH.html
Corie Blount,8:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,away,/boxscores/200001290CHH.html
Todd Day,3:00,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,1,0,3,away,/boxscores/200001290CHH.html
Toby Bailey,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,away,/boxscores/200001290CHH.html
Team Totals,240,31,78,.397,6,15,.400,11,15,.733,7,24,31,18,11,6,19,27,79,away,/boxscores/200001290CHH.html
Elden Campbell,41:00,3,7,.429,0,1,.000,3,4,.750,2,8,10,4,2,3,6,5,9,home,/boxscores/200001290CHH.html
Eddie Jones,40:00,8,17,.471,1,5,.200,3,4,.750,1,2,3,6,4,1,1,1,20,home,/boxscores/200001290CHH.html
Anthony Mason,38:00,6,12,.500,0,0,,3,4,.750,2,5,7,5,0,0,4,2,15,home,/boxscores/200001290CHH.html
Derrick Coleman,31:00,8,14,.571,1,3,.333,2,2,1.000,1,6,7,2,1,1,2,0,19,home,/boxscores/200001290CHH.html
David Wesley,25:00,2,6,.333,1,1,1.000,0,0,,0,4,4,6,1,0,3,1,5,home,/boxscores/200001290CHH.html
Brad Miller,25:00,4,7,.571,0,0,,5,6,.833,2,10,12,1,0,2,2,3,13,home,/boxscores/200001290CHH.html
Baron Davis,23:00,4,8,.500,1,1,1.000,4,4,1.000,0,2,2,3,0,2,3,3,13,home,/boxscores/200001290CHH.html
Eddie Robinson,12:00,1,5,.200,0,0,,0,0,,2,3,5,2,2,0,0,0,2,home,/boxscores/200001290CHH.html
Ricky Davis,4:00,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,4,home,/boxscores/200001290CHH.html
Dale Ellis,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,home,/boxscores/200001290CHH.html
Team Totals,240,38,80,.475,4,11,.364,20,24,.833,11,40,51,29,10,9,22,15,100,home,/boxscores/200001290CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Eddie Jones,42:00,7,22,.318,2,3,.667,4,4,1.000,3,5,8,4,0,1,2,2,20,away,/boxscores/200002010HOU.html
Derrick Coleman,31:00,6,17,.353,0,0,,2,3,.667,3,8,11,1,0,3,1,3,14,away,/boxscores/200002010HOU.html
David Wesley,26:00,1,10,.100,1,6,.167,1,2,.500,0,0,0,2,0,1,1,1,4,away,/boxscores/200002010HOU.html
Anthony Mason,23:00,1,5,.200,0,0,,0,2,.000,2,5,7,2,0,0,1,1,2,away,/boxscores/200002010HOU.html
Elden Campbell,20:00,2,4,.500,0,0,,2,4,.500,2,3,5,0,1,1,2,1,6,away,/boxscores/200002010HOU.html
Eddie Robinson,30:00,5,8,.625,0,0,,2,2,1.000,0,2,2,1,3,1,1,0,12,away,/boxscores/200002010HOU.html
Baron Davis,28:00,6,10,.600,2,6,.333,0,1,.000,0,2,2,5,0,0,4,6,14,away,/boxscores/200002010HOU.html
Brad Miller,17:00,3,6,.500,0,0,,3,3,1.000,0,7,7,0,0,2,1,2,9,away,/boxscores/200002010HOU.html
Ricky Davis,15:00,1,3,.333,0,0,,0,0,,1,3,4,4,1,0,2,0,2,away,/boxscores/200002010HOU.html
Dale Ellis,8:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,away,/boxscores/200002010HOU.html
Team Totals,240,32,87,.368,5,15,.333,14,21,.667,11,36,47,19,5,9,15,17,83,away,/boxscores/200002010HOU.html
Steve Francis,42:00,7,24,.292,2,6,.333,6,6,1.000,2,5,7,8,5,1,1,2,22,home,/boxscores/200002010HOU.html
Shandon Anderson,30:00,3,9,.333,0,0,,0,0,,2,3,5,6,2,0,1,2,6,home,/boxscores/200002010HOU.html
Matt Bullard,26:00,3,8,.375,3,5,.600,0,0,,0,3,3,2,0,3,1,3,9,home,/boxscores/200002010HOU.html
Walt Williams,23:00,5,9,.556,2,2,1.000,2,2,1.000,0,4,4,2,0,1,1,2,14,home,/boxscores/200002010HOU.html
Anthony Miller,11:00,1,1,1.000,0,0,,1,2,.500,0,2,2,0,0,2,1,2,3,home,/boxscores/200002010HOU.html
Kenny Thomas,30:00,3,7,.429,0,0,,0,0,,3,4,7,3,0,0,0,3,6,home,/boxscores/200002010HOU.html
Cuttino Mobley,27:00,9,15,.600,1,4,.250,4,5,.800,1,3,4,2,2,0,1,2,23,home,/boxscores/200002010HOU.html
Kelvin Cato,21:00,3,5,.600,0,0,,2,4,.500,1,7,8,0,1,2,0,1,8,home,/boxscores/200002010HOU.html
Hakeem Olajuwon,16:00,4,10,.400,0,0,,0,2,.000,3,5,8,2,0,0,1,1,8,home,/boxscores/200002010HOU.html
Bryce Drew,14:00,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,1,0,home,/boxscores/200002010HOU.html
Team Totals,240,38,89,.427,8,18,.444,15,21,.714,12,37,49,26,10,9,8,19,99,home,/boxscores/200002010HOU.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Eddie Jones,42:00,7,21,.333,1,7,.143,6,8,.750,2,7,9,2,5,0,3,5,21,away,/boxscores/200002030DAL.html
Anthony Mason,41:00,1,7,.143,0,0,,6,7,.857,3,5,8,5,1,0,1,2,8,away,/boxscores/200002030DAL.html
Derrick Coleman,32:00,7,13,.538,0,1,.000,5,7,.714,1,7,8,1,0,0,4,5,19,away,/boxscores/200002030DAL.html
David Wesley,32:00,4,12,.333,1,6,.167,3,4,.750,0,2,2,4,0,0,2,2,12,away,/boxscores/200002030DAL.html
Elden Campbell,30:00,3,7,.429,0,0,,5,6,.833,3,7,10,0,0,2,0,2,11,away,/boxscores/200002030DAL.html
Eddie Robinson,20:00,5,9,.556,0,0,,2,2,1.000,2,2,4,0,1,0,1,2,12,away,/boxscores/200002030DAL.html
Baron Davis,19:00,0,3,.000,0,1,.000,4,4,1.000,0,2,2,5,3,1,1,3,4,away,/boxscores/200002030DAL.html
Brad Miller,13:00,2,7,.286,0,0,,2,5,.400,2,1,3,1,0,0,0,1,6,away,/boxscores/200002030DAL.html
Dale Ellis,8:00,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,away,/boxscores/200002030DAL.html
Ricky Davis,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,away,/boxscores/200002030DAL.html
Team Totals,240,30,81,.370,3,16,.188,33,43,.767,13,33,46,18,10,3,13,23,96,away,/boxscores/200002030DAL.html
Erick Strickland,42:00,10,18,.556,0,2,.000,3,4,.750,0,6,6,1,2,0,2,4,23,home,/boxscores/200002030DAL.html
Michael Finley,41:00,11,18,.611,1,1,1.000,9,10,.900,0,9,9,4,2,0,4,4,32,home,/boxscores/200002030DAL.html
Cedric Ceballos,29:00,2,7,.286,0,1,.000,3,3,1.000,1,4,5,2,1,0,2,1,7,home,/boxscores/200002030DAL.html
Dirk Nowitzki,23:00,5,10,.500,0,1,.000,4,4,1.000,0,4,4,1,0,1,1,4,14,home,/boxscores/200002030DAL.html
Shawn Bradley,23:00,1,3,.333,0,0,,1,2,.500,1,7,8,1,2,3,1,4,3,home,/boxscores/200002030DAL.html
Steve Nash,26:00,5,7,.714,1,2,.500,1,2,.500,0,2,2,6,1,0,5,3,12,home,/boxscores/200002030DAL.html
Greg Buckner,23:00,3,5,.600,0,0,,1,2,.500,0,2,2,1,0,0,0,4,7,home,/boxscores/200002030DAL.html
Sean Rooks,20:00,2,5,.400,0,0,,1,2,.500,1,3,4,0,1,2,1,4,5,home,/boxscores/200002030DAL.html
Hubert Davis,13:00,1,2,.500,1,1,1.000,0,0,,0,3,3,2,0,0,0,0,3,home,/boxscores/200002030DAL.html
Team Totals,240,40,75,.533,3,8,.375,23,29,.793,3,40,43,18,9,6,16,28,106,home,/boxscores/200002030DAL.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
David Wesley,43:00,6,15,.400,1,6,.167,7,10,.700,0,2,2,4,3,0,0,3,20,away,/boxscores/200002050WAS.html
Elden Campbell,40:00,6,14,.429,0,0,,15,18,.833,2,7,9,2,0,4,1,2,27,away,/boxscores/200002050WAS.html
Eddie Jones,40:00,7,14,.500,0,3,.000,6,8,.750,1,2,3,3,1,3,0,2,20,away,/boxscores/200002050WAS.html
Anthony Mason,40:00,3,5,.600,0,0,,6,6,1.000,2,6,8,5,0,1,1,2,12,away,/boxscores/200002050WAS.html
Derrick Coleman,32:00,8,14,.571,0,2,.000,4,7,.571,0,10,10,5,0,2,2,4,20,away,/boxscores/200002050WAS.html
Brad Miller,15:00,1,3,.333,0,1,.000,2,2,1.000,0,5,5,0,0,1,0,3,4,away,/boxscores/200002050WAS.html
Baron Davis,13:00,1,4,.250,0,0,,1,2,.500,1,1,2,3,1,1,0,3,3,away,/boxscores/200002050WAS.html
