Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Antonio Daniels,2:00,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,home,/boxscores/199911130SAS.html
Team Totals,240,39,83,.470,5,9,.556,12,14,.857,11,37,48,24,4,11,12,18,95,home,/boxscores/199911130SAS.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Anthony Mason,43:00,9,12,.750,0,0,,2,4,.500,3,13,16,5,0,0,3,2,20,away,/boxscores/199911160ATL.html
Eddie Jones,42:00,7,18,.389,2,4,.500,4,5,.800,2,0,2,3,1,1,2,2,20,away,/boxscores/199911160ATL.html
Bobby Phills,39:00,5,12,.417,2,5,.400,5,5,1.000,0,3,3,4,3,1,0,3,17,away,/boxscores/199911160ATL.html
David Wesley,35:00,3,10,.300,0,4,.000,5,6,.833,0,3,3,6,0,0,1,2,11,away,/boxscores/199911160ATL.html
Elden Campbell,34:00,5,16,.313,0,0,,2,2,1.000,3,5,8,1,0,1,0,5,12,away,/boxscores/199911160ATL.html
Derrick Coleman,23:00,6,10,.600,0,0,,0,0,,0,4,4,0,1,0,1,5,12,away,/boxscores/199911160ATL.html
Baron Davis,15:00,1,3,.333,0,1,.000,0,0,,1,0,1,2,1,0,3,3,2,away,/boxscores/199911160ATL.html
Eddie Robinson,9:00,2,3,.667,0,0,,0,0,,2,0,2,0,1,0,1,1,4,away,/boxscores/199911160ATL.html
Team Totals,240,38,84,.452,4,14,.286,18,22,.818,11,28,39,21,7,3,11,23,98,away,/boxscores/199911160ATL.html
Dikembe Mutombo,44:00,7,11,.636,0,0,,5,9,.556,4,13,17,2,0,0,2,1,19,home,/boxscores/199911160ATL.html
Jim Jackson,43:00,8,24,.333,1,6,.167,3,4,.750,0,6,6,4,0,0,1,0,20,home,/boxscores/199911160ATL.html
Alan Henderson,31:00,5,15,.333,0,0,,2,4,.500,6,6,12,1,1,1,1,2,12,home,/boxscores/199911160ATL.html
Bimbo Coles,13:00,1,4,.250,0,0,,0,0,,1,0,1,2,0,0,0,3,2,home,/boxscores/199911160ATL.html
Chris Crawford,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,3,0,home,/boxscores/199911160ATL.html
Roshown McLeod,44:00,8,12,.667,0,0,,2,2,1.000,1,2,3,5,0,1,3,4,18,home,/boxscores/199911160ATL.html
Jason Terry,35:00,7,14,.500,2,4,.500,6,8,.750,1,2,3,5,4,0,2,2,22,home,/boxscores/199911160ATL.html
Lorenzen Wright,20:00,3,5,.600,0,0,,2,2,1.000,3,4,7,0,0,1,2,3,8,home,/boxscores/199911160ATL.html
Anthony Johnson,7:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,home,/boxscores/199911160ATL.html
Team Totals,240,40,86,.465,3,10,.300,20,29,.690,16,33,49,19,5,3,13,20,103,home,/boxscores/199911160ATL.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Dirk Nowitzki,45:00,6,14,.429,0,1,.000,4,4,1.000,2,4,6,1,1,1,3,4,16,away,/boxscores/199911170CHH.html
Robert Pack,40:00,11,18,.611,0,1,.000,5,5,1.000,0,2,2,14,2,0,6,3,27,away,/boxscores/199911170CHH.html
Michael Finley,37:00,6,19,.316,1,5,.200,3,4,.750,1,4,5,4,2,0,0,3,16,away,/boxscores/199911170CHH.html
Erick Strickland,27:00,1,9,.111,1,4,.250,2,2,1.000,1,3,4,1,3,0,0,4,5,away,/boxscores/199911170CHH.html
Sean Rooks,19:00,4,8,.500,0,0,,0,0,,0,2,2,0,0,0,1,4,8,away,/boxscores/199911170CHH.html
Cedric Ceballos,25:00,4,11,.364,1,1,1.000,5,7,.714,3,11,14,0,2,0,2,4,14,away,/boxscores/199911170CHH.html
Shawn Bradley,24:00,4,6,.667,0,0,,2,4,.500,1,1,2,0,0,4,1,6,10,away,/boxscores/199911170CHH.html
Steve Nash,14:00,1,2,.500,1,2,.500,0,0,,0,0,0,2,0,0,2,2,3,away,/boxscores/199911170CHH.html
Hubert Davis,9:00,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,2,0,away,/boxscores/199911170CHH.html
Team Totals,240,37,89,.416,4,15,.267,21,26,.808,8,27,35,23,10,5,15,32,99,away,/boxscores/199911170CHH.html
Eddie Jones,43:00,7,13,.538,2,4,.500,8,8,1.000,0,6,6,9,4,1,2,4,24,home,/boxscores/199911170CHH.html
Anthony Mason,35:00,3,9,.333,0,0,,3,4,.750,3,7,10,1,0,0,3,4,9,home,/boxscores/199911170CHH.html
Elden Campbell,31:00,6,18,.333,0,0,,3,4,.750,4,3,7,2,0,0,1,4,15,home,/boxscores/199911170CHH.html
Bobby Phills,29:00,2,7,.286,0,2,.000,0,0,,1,2,3,3,0,0,3,2,4,home,/boxscores/199911170CHH.html
David Wesley,23:00,1,7,.143,1,3,.333,2,2,1.000,1,1,2,2,1,0,3,6,5,home,/boxscores/199911170CHH.html
Derrick Coleman,37:00,6,12,.500,1,1,1.000,8,12,.667,3,15,18,3,0,8,5,3,21,home,/boxscores/199911170CHH.html
Baron Davis,25:00,3,7,.429,0,3,.000,7,8,.875,0,2,2,5,3,0,4,2,13,home,/boxscores/199911170CHH.html
Brad Miller,17:00,5,9,.556,0,0,,3,3,1.000,5,7,12,2,0,1,0,2,13,home,/boxscores/199911170CHH.html
Team Totals,240,33,82,.402,4,13,.308,34,41,.829,17,43,60,27,8,10,21,27,104,home,/boxscores/199911170CHH.html
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,away,game_id
Anthony Mason,46:00,6,11,.545,0,0,,4,10,.400,2,13,15,8,1,0,2,4,16,away,/boxscores/199911190ORL.html
Eddie Jones,44:00,11,17,.647,5,7,.714,3,3,1.000,3,5,8,3,3,0,3,3,30,away,/boxscores/199911190ORL.html
David Wesley,38:00,6,15,.400,1,6,.167,0,0,,0,4,4,5,1,1,4,4,13,away,/boxscores/199911190ORL.html
Brad Miller,22:00,2,7,.286,0,0,,0,1,.000,2,5,7,4,0,2,3,4,4,away,/boxscores/199911190ORL.html
