game_id,season,home_points,away_points,variable,value,points
4702,2004,85.0,95.0,away_team,Memphis Grizzlies,95.0
4703,2004,101.0,98.0,away_team,Dallas Mavericks,98.0
4704,2004,91.0,71.0,away_team,Portland Trail Blazers,71.0
4705,2004,94.0,88.0,away_team,New Jersey Nets,88.0
4706,2004,77.0,80.0,away_team,Boston Celtics,80.0
4707,2004,90.0,107.0,away_team,Sacramento Kings,107.0
4708,2004,65.0,86.0,away_team,Detroit Pistons,86.0
4709,2004,84.0,76.0,away_team,New Orleans Hornets,76.0
4710,2004,86.0,99.0,away_team,New York Knicks,99.0
4711,2004,102.0,108.0,away_team,Cleveland Cavaliers,108.0
4712,2004,103.0,90.0,away_team,Phoenix Suns,90.0
4713,2004,97.0,92.0,away_team,Milwaukee Bucks,92.0
4714,2004,88.0,83.0,away_team,Los Angeles Lakers,83.0
4715,2004,81.0,89.0,away_team,Philadelphia 76ers,89.0
4716,2004,90.0,85.0,away_team,Los Angeles Clippers,85.0
4717,2004,94.0,84.0,away_team,Toronto Raptors,84.0
4718,2004,94.0,88.0,away_team,San Antonio Spurs,88.0
4719,2004,100.0,89.0,away_team,Orlando Magic,89.0
4720,2004,84.0,87.0,away_team,Boston Celtics,87.0
4721,2004,96.0,92.0,away_team,Golden State Warriors,92.0
4722,2004,92.0,105.0,away_team,Minnesota Timberwolves,105.0
4723,2004,87.0,117.0,away_team,Denver Nuggets,117.0
4724,2004,109.0,117.0,away_team,Los Angeles Lakers,117.0
4725,2004,98.0,65.0,away_team,Chicago Bulls,65.0
4726,2004,94.0,80.0,away_team,Atlanta Hawks,80.0
4727,2004,98.0,97.0,away_team,Denver Nuggets,97.0
4728,2004,95.0,84.0,away_team,Miami Heat,84.0
4729,2004,108.0,99.0,away_team,Washington Wizards,99.0
4730,2004,92.0,79.0,away_team,Minnesota Timberwolves,79.0
4731,2004,108.0,90.0,away_team,Los Angeles Clippers,90.0
4732,2004,92.0,106.0,away_team,Cleveland Cavaliers,106.0
4733,2004,91.0,77.0,away_team,Golden State Warriors,77.0
4734,2004,97.0,86.0,away_team,New Orleans Hornets,86.0
4735,2004,120.0,102.0,away_team,Dallas Mavericks,102.0
4736,2004,138.0,124.0,away_team,Washington Wizards,124.0
4737,2004,81.0,99.0,away_team,Indiana Pacers,99.0
4738,2004,98.0,89.0,away_team,Los Angeles Clippers,89.0
4739,2004,82.0,74.0,away_team,Seattle SuperSonics,74.0
4740,2004,111.0,117.0,away_team,Denver Nuggets,117.0
4741,2004,96.0,86.0,away_team,Los Angeles Lakers,86.0
4742,2004,88.0,76.0,away_team,Chicago Bulls,76.0
4743,2004,99.0,94.0,away_team,New York Knicks,94.0
4744,2004,90.0,99.0,away_team,Utah Jazz,99.0
4745,2004,83.0,81.0,away_team,Sacramento Kings,81.0
4746,2004,99.0,74.0,away_team,Golden State Warriors,74.0
4747,2004,81.0,88.0,away_team,Los Angeles Lakers,88.0
4748,2004,88.0,80.0,away_team,Memphis Grizzlies,80.0
4749,2004,102.0,84.0,away_team,Golden State Warriors,84.0
4750,2004,101.0,115.0,away_team,Seattle SuperSonics,115.0
4751,2004,90.0,113.0,away_team,Dallas Mavericks,113.0
4752,2004,102.0,111.0,away_team,Boston Celtics,111.0
4753,2004,107.0,104.0,away_team,Indiana Pacers,104.0
4754,2004,102.0,75.0,away_team,Utah Jazz,75.0
4755,2004,85.0,69.0,away_team,Philadelphia 76ers,69.0
4756,2004,88.0,101.0,away_team,Dallas Mavericks,101.0
4757,2004,104.0,95.0,away_team,New Jersey Nets,95.0
4758,2004,100.0,103.0,away_team,New York Knicks,103.0
4759,2004,83.0,92.0,away_team,Portland Trail Blazers,92.0
4760,2004,101.0,87.0,away_team,San Antonio Spurs,87.0
4761,2004,101.0,84.0,away_team,Atlanta Hawks,84.0
4762,2004,97.0,80.0,away_team,San Antonio Spurs,80.0
4763,2004,97.0,99.0,away_team,Phoenix Suns,99.0
4764,2004,113.0,110.0,away_team,Orlando Magic,110.0
4765,2004,110.0,118.0,away_team,Seattle SuperSonics,118.0
4766,2004,111.0,87.0,away_team,Chicago Bulls,87.0
4767,2004,82.0,79.0,away_team,Philadelphia 76ers,79.0
4768,2004,96.0,83.0,away_team,New Orleans Hornets,83.0
4769,2004,99.0,100.0,away_team,Portland Trail Blazers,100.0
4770,2004,94.0,77.0,away_team,Sacramento Kings,77.0
4771,2004,114.0,110.0,away_team,Washington Wizards,110.0
4772,2004,98.0,110.0,away_team,Los Angeles Clippers,110.0
4773,2004,104.0,100.0,away_team,Denver Nuggets,100.0
4774,2004,110.0,111.0,away_team,Atlanta Hawks,111.0
4775,2004,110.0,85.0,away_team,Orlando Magic,85.0
4776,2004,80.0,71.0,away_team,Portland Trail Blazers,71.0
4777,2004,103.0,106.0,away_team,Los Angeles Lakers,106.0
