away_team,away_points,home_team,home_points,away_rest,home_rest
San Antonio Spurs,106,Sacramento Kings,88,1.0,1.0
Utah Jazz,114,Cleveland Cavaliers,118,2.0,1.0
Los Angeles Lakers,88,Miami Heat,101,1.0,1.0
Boston Celtics,99,Milwaukee Bucks,83,3.0,2.0
Charlotte Hornets,104,Minnesota Timberwolves,95,2.0,0.0
Dallas Mavericks,105,New Orleans Pelicans,120,2.0,2.0
New York Knicks,111,Toronto Raptors,109,1.0,1.0
Oklahoma City Thunder,125,Washington Wizards,101,1.0,2.0
New Orleans Pelicans,98,Atlanta Hawks,106,0.0,1.0
Indiana Pacers,102,Boston Celtics,91,1.0,0.0
New York Knicks,93,Charlotte Hornets,95,0.0,0.0
Los Angeles Clippers,108,Dallas Mavericks,118,1.0,0.0
Milwaukee Bucks,102,Denver Nuggets,103,0.0,1.0
Brooklyn Nets,106,Houston Rockets,98,3.0,3.0
Golden State Warriors,100,Memphis Grizzlies,84,1.0,1.0
Los Angeles Lakers,99,Orlando Magic,101,0.0,1.0
Toronto Raptors,119,Philadelphia 76ers,103,0.0,1.0
San Antonio Spurs,113,Portland Trail Blazers,101,1.0,1.0
Detroit Pistons,92,Sacramento Kings,101,1.0,1.0
Utah Jazz,91,Miami Heat,92,1.0,1.0
Golden State Warriors,129,Minnesota Timberwolves,116,0.0,1.0
Los Angeles Clippers,104,Phoenix Suns,118,0.0,3.0
Atlanta Hawks,93,Boston Celtics,106,1.0,1.0
Charlotte Hornets,97,Chicago Bulls,102,1.0,3.0
Los Angeles Lakers,82,Dallas Mavericks,90,1.0,1.0
Houston Rockets,98,Denver Nuggets,107,1.0,1.0
Minnesota Timberwolves,103,Indiana Pacers,107,0.0,1.0
Portland Trail Blazers,100,Memphis Grizzlies,101,1.0,1.0
Cleveland Cavaliers,90,New York Knicks,84,2.0,1.0
Philadelphia 76ers,85,Oklahoma City Thunder,102,1.0,2.0
Utah Jazz,93,Orlando Magic,102,0.0,1.0
Brooklyn Nets,109,Sacramento Kings,111,1.0,1.0
New Orleans Pelicans,81,Toronto Raptors,100,1.0,1.0
Brooklyn Nets,99,Golden State Warriors,107,0.0,1.0
Dallas Mavericks,110,Houston Rockets,98,0.0,0.0
Detroit Pistons,96,Los Angeles Clippers,101,2.0,1.0
Cleveland Cavaliers,105,Milwaukee Bucks,108,0.0,2.0
Denver Nuggets,81,Phoenix Suns,105,0.0,1.0
Philadelphia 76ers,83,San Antonio Spurs,92,0.0,2.0
Orlando Magic,99,Washington Wizards,108,0.0,3.0
Utah Jazz,97,Atlanta Hawks,96,1.0,1.0
Portland Trail Blazers,94,Charlotte Hornets,106,1.0,1.0
Detroit Pistons,85,Los Angeles Lakers,97,0.0,1.0
Memphis Grizzlies,114,Minnesota Timberwolves,106,1.0,1.0
New Orleans Pelicans,87,New York Knicks,95,1.0,1.0
Boston Celtics,100,Oklahoma City Thunder,85,1.0,1.0
Toronto Raptors,101,Sacramento Kings,107,1.0,1.0
Indiana Pacers,95,Chicago Bulls,96,2.0,2.0
Boston Celtics,111,Houston Rockets,95,0.0,1.0
Oklahoma City Thunder,114,Memphis Grizzlies,122,0.0,0.0
Dallas Mavericks,92,Philadelphia 76ers,86,1.0,1.0
Los Angeles Lakers,101,Phoenix Suns,120,0.0,1.0
Portland Trail Blazers,80,San Antonio Spurs,93,0.0,1.0
Atlanta Hawks,88,Brooklyn Nets,90,1.0,2.0
Cleveland Cavaliers,99,Detroit Pistons,104,2.0,1.0
Toronto Raptors,110,Golden State Warriors,115,1.0,2.0
Minnesota Timberwolves,103,Miami Heat,91,1.0,4.0
Denver Nuggets,115,New Orleans Pelicans,98,2.0,1.0
Charlotte Hornets,94,New York Knicks,102,1.0,1.0
Milwaukee Bucks,86,Washington Wizards,115,2.0,2.0
Sacramento Kings,97,Atlanta Hawks,103,2.0,0.0
Dallas Mavericks,106,Boston Celtics,102,1.0,1.0
Brooklyn Nets,111,Charlotte Hornets,116,0.0,0.0
Portland Trail Blazers,103,Houston Rockets,108,1.0,1.0
New Orleans Pelicans,103,Oklahoma City Thunder,110,0.0,1.0
Minnesota Timberwolves,101,Orlando Magic,104,0.0,3.0
Indiana Pacers,112,Philadelphia 76ers,85,1.0,1.0
Chicago Bulls,103,Phoenix Suns,97,1.0,1.0
Denver Nuggets,98,San Antonio Spurs,109,0.0,1.0
Toronto Raptors,89,Utah Jazz,93,0.0,2.0
Milwaukee Bucks,100,Cleveland Cavaliers,115,1.0,1.0
Golden State Warriors,124,Los Angeles Clippers,117,1.0,4.0
Sacramento Kings,109,Miami Heat,116,0.0,1.0
Brooklyn Nets,95,Boston Celtics,120,1.0,1.0
Philadelphia 76ers,88,Charlotte Hornets,113,1.0,1.0
Utah Jazz,93,Dallas Mavericks,102,1.0,1.0
Phoenix Suns,114,Denver Nuggets,107,1.0,1.0
Chicago Bulls,94,Golden State Warriors,106,1.0,0.0
Toronto Raptors,102,Los Angeles Lakers,91,1.0,3.0
Houston Rockets,84,Memphis Grizzlies,96,1.0,3.0
Detroit Pistons,96,Minnesota Timberwolves,86,2.0,1.0
San Antonio Spurs,90,New Orleans Pelicans,104,1.0,1.0
New York Knicks,93,Oklahoma City Thunder,90,2.0,1.0
Los Angeles Clippers,91,Portland Trail Blazers,102,0.0,1.0
Atlanta Hawks,97,Cleveland Cavaliers,109,2.0,1.0
Washington Wizards,97,Detroit Pistons,95,3.0,0.0
New York Knicks,107,Houston Rockets,102,0.0,0.0
Milwaukee Bucks,86,Indiana Pacers,123,1.0,2.0
Philadelphia 76ers,91,Miami Heat,96,0.0,1.0
Sacramento Kings,97,Orlando Magic,91,1.0,2.0
Memphis Grizzlies,82,San Antonio Spurs,92,0.0,0.0
Boston Celtics,101,Brooklyn Nets,111,1.0,1.0
Golden State Warriors,118,Denver Nuggets,105,1.0,1.0
Toronto Raptors,91,Los Angeles Clippers,80,1.0,1.0
Portland Trail Blazers,107,Los Angeles Lakers,93,1.0,1.0
Phoenix Suns,116,New Orleans Pelicans,122,1.0,1.0
Dallas Mavericks,114,Oklahoma City Thunder,117,1.0,1.0
Sacramento Kings,122,Charlotte Hornets,127,1.0,2.0
Orlando Magic,103,Cleveland Cavaliers,117,1.0,1.0
New York Knicks,78,Miami Heat,95,1.0,1.0
Detroit Pistons,88,Milwaukee Bucks,109,1.0,1.0
Philadelphia 76ers,95,Minnesota Timberwolves,100,1.0,2.0
Phoenix Suns,84,San Antonio Spurs,98,0.0,1.0
Oklahoma City Thunder,111,Utah Jazz,89,0.0,2.0
Boston Celtics,97,Atlanta Hawks,121,1.0,2.0
Los Angeles Clippers,111,Denver Nuggets,94,1.0,1.0
Los Angeles Lakers,77,Golden State Warriors,111,1.0,1.0
Dallas Mavericks,96,Memphis Grizzlies,110,1.0,2.0
Chicago Bulls,93,Portland Trail Blazers,88,3.0,1.0
Indiana Pacers,123,Washington Wizards,106,2.0,2.0
Philadelphia 76ers,80,Boston Celtics,84,1.0,0.0
Washington Wizards,87,Charlotte Hornets,101,0.0,1.0
Miami Heat,81,Detroit Pistons,104,1.0,1.0
Memphis Grizzlies,102,Houston Rockets,93,0.0,3.0
Utah Jazz,102,Los Angeles Clippers,91,1.0,0.0
Sacramento Kings,129,Milwaukee Bucks,118,1.0,1.0
Atlanta Hawks,95,Minnesota Timberwolves,99,0.0,1.0
Brooklyn Nets,99,Oklahoma City Thunder,110,2.0,1.0
New York Knicks,91,Orlando Magic,100,1.0,1.0
New Orleans Pelicans,120,Phoenix Suns,114,2.0,1.0
Dallas Mavericks,83,San Antonio Spurs,88,0.0,1.0
Cleveland Cavaliers,99,Toronto Raptors,103,1.0,2.0
Washington Wizards,78,Boston Celtics,111,1.0,1.0
Cleveland Cavaliers,95,Charlotte Hornets,90,1.0,1.0
San Antonio Spurs,91,Denver Nuggets,80,1.0,2.0
Philadelphia 76ers,114,Houston Rockets,116,1.0,1.0
Chicago Bulls,92,Indiana Pacers,104,2.0,2.0
New Orleans Pelicans,90,Los Angeles Clippers,111,1.0,1.0
