Tm,year,3P%,3P%_Opp,3PA,3PA_Opp,3PM,3PM_Opp,A/TO,AFG%,Assists,Assists_Opp,Blocks,Blocks_Opp,Def_Reb,Def_Reb_Opp,Diff,FG%,FG%.1_Opp,FG%_Opp,FGA,FGA_Opp,FGM,FGM_Opp,FT%,FT%_Opp,FTA,FTA_Opp,FTM,FTM_Opp,Off_Reb,Off_Reb_Opp,PPS,PPS_Opp,PTS,PTS_Opp,Reb_Pct_Def,Reb_Pct_Off,Reb_Pct_Tot,Steals,Steals_Opp,Tech,Tot_Reb,Tot_Reb_Opp,Turnovers,Turnovers_Opp
Minnesota,2000,0.346,0.356,716.0,1066.0,248.0,380.0,1.94,0.485,2205.0,1737.0,444.0,344.0,2471.0,2440.0,-93.0,0.467,0.474,0.445,6910.0,6576.0,3226.0,2924.0,0.78,0.752,1769.0,2185.0,1379.0,1644.0,1016.0,916.0,1.17,1.2,8079.0,7872.0,0.73,0.294,0.51,622.0,591.0,40.0,3487.0,3356.0,1139.0,1232.0
Minnesota,2001,0.357,0.351,901.0,996.0,322.0,350.0,1.83,0.482,2083.0,1834.0,456.0,357.0,2470.0,2505.0,-110.0,0.458,0.478,0.452,6871.0,6588.0,3148.0,2977.0,0.785,0.724,1737.0,2164.0,1364.0,1567.0,1002.0,967.0,1.16,1.19,7982.0,7871.0,0.719,0.286,0.5,682.0,583.0,72.0,3472.0,3472.0,1136.0,1246.0
Minnesota,2002,0.378,0.372,1047.0,1321.0,396.0,492.0,1.82,0.49,1993.0,1855.0,427.0,407.0,2562.0,2326.0,0.0,0.461,0.482,0.445,6887.0,6654.0,3175.0,2962.0,0.798,0.742,1754.0,1958.0,1399.0,1452.0,1059.0,912.0,1.18,1.18,8145.0,7868.0,0.737,0.313,0.528,524.0,542.0,80.0,3621.0,3238.0,1097.0,1097.0
Minnesota,2003,0.368,0.347,804.0,1362.0,296.0,472.0,1.84,0.488,2070.0,1871.0,433.0,405.0,2614.0,2444.0,8.0,0.466,0.472,0.437,6809.0,6873.0,3172.0,3005.0,0.77,0.752,1826.0,1853.0,1406.0,1394.0,959.0,974.0,1.18,1.15,8046.0,7876.0,0.729,0.282,0.511,553.0,571.0,97.0,3573.0,3418.0,1124.0,1116.0
Minnesota,2004,0.363,0.334,897.0,1181.0,326.0,395.0,1.81,0.486,1890.0,1701.0,462.0,296.0,2645.0,2400.0,-63.0,0.462,0.444,0.414,6571.0,6625.0,3033.0,2741.0,0.781,0.753,1743.0,1893.0,1361.0,1426.0,875.0,1001.0,1.18,1.1,7753.0,7303.0,0.725,0.267,0.509,561.0,547.0,92.0,3520.0,3401.0,1043.0,1106.0
Minnesota,2005,0.345,0.363,1145.0,1291.0,395.0,468.0,1.78,0.489,1918.0,1783.0,447.0,323.0,2580.0,2359.0,116.0,0.459,0.472,0.438,6629.0,6777.0,3045.0,2967.0,0.796,0.752,1820.0,1880.0,1449.0,1413.0,947.0,1032.0,1.2,1.15,7934.0,7815.0,0.714,0.286,0.51,460.0,540.0,60.0,3527.0,3391.0,1079.0,963.0
Minnesota,2006,0.329,0.364,942.0,1229.0,310.0,447.0,1.44,0.48,1716.0,1554.0,471.0,374.0,2422.0,2411.0,-152.0,0.456,0.475,0.441,6340.0,6474.0,2888.0,2852.0,0.758,0.736,1895.0,2072.0,1436.0,1525.0,811.0,974.0,1.19,1.19,7522.0,7676.0,0.713,0.252,0.489,559.0,539.0,61.0,3233.0,3385.0,1189.0,1139.0
Minnesota,2007,0.353,0.348,1089.0,1488.0,384.0,518.0,1.45,0.49,1848.0,1782.0,325.0,360.0,2474.0,2438.0,-102.0,0.461,0.498,0.46,6503.0,6689.0,2997.0,3075.0,0.792,0.76,1892.0,1987.0,1499.0,1510.0,819.0,957.0,1.21,1.22,7877.0,8178.0,0.721,0.251,0.492,532.0,583.0,84.0,3293.0,3395.0,1278.0,1163.0
Minnesota,2008,0.35,0.357,1259.0,1516.0,441.0,541.0,1.37,0.484,1630.0,1899.0,306.0,467.0,2428.0,2545.0,-24.0,0.451,0.513,0.472,6817.0,6481.0,3076.0,3056.0,0.736,0.769,1693.0,2266.0,1246.0,1742.0,964.0,871.0,1.15,1.3,7839.0,8395.0,0.736,0.275,0.498,616.0,610.0,58.0,3392.0,3416.0,1188.0,1103.0
Minnesota,2009,0.353,0.377,1539.0,1420.0,543.0,536.0,1.44,0.481,1674.0,1765.0,322.0,484.0,2442.0,2539.0,65.0,0.441,0.515,0.474,6766.0,6561.0,2986.0,3109.0,0.769,0.778,1957.0,2145.0,1504.0,1668.0,975.0,813.0,1.19,1.28,8019.0,8422.0,0.75,0.277,0.505,512.0,610.0,50.0,3417.0,3352.0,1165.0,1028.0
Minnesota,2010,0.341,0.366,1181.0,1690.0,403.0,618.0,1.22,0.478,1626.0,2103.0,306.0,442.0,2556.0,2640.0,-39.0,0.449,0.525,0.48,6923.0,6961.0,3106.0,3343.0,0.746,0.774,1926.0,1981.0,1436.0,1534.0,962.0,917.0,1.16,1.27,8051.0,8838.0,0.736,0.267,0.497,597.0,721.0,62.0,3518.0,3557.0,1333.0,1173.0
Minnesota,2011,0.376,0.374,1565.0,1707.0,589.0,639.0,1.18,0.483,1650.0,2031.0,422.0,447.0,2556.0,2577.0,151.0,0.441,0.514,0.468,7014.0,6902.0,3090.0,3230.0,0.768,0.778,1977.0,2227.0,1519.0,1733.0,1085.0,913.0,1.18,1.28,8288.0,8832.0,0.737,0.296,0.511,592.0,777.0,57.0,3641.0,3490.0,1398.0,1183.0
Minnesota,2012,0.332,0.34,1423.0,1195.0,473.0,406.0,1.29,0.477,1290.0,1422.0,293.0,377.0,2089.0,2096.0,19.0,0.433,0.491,0.455,5434.0,5656.0,2355.0,2572.0,0.771,0.755,1662.0,1402.0,1281.0,1059.0,797.0,771.0,1.19,1.17,6464.0,6609.0,0.73,0.275,0.502,436.0,549.0,35.0,2886.0,2867.0,1001.0,875.0
Minnesota,2013,0.305,0.369,1475.0,1559.0,450.0,576.0,1.58,0.473,1836.0,1832.0,387.0,481.0,2473.0,2583.0,-99.0,0.439,0.511,0.468,6702.0,6657.0,2943.0,3113.0,0.742,0.752,2042.0,1652.0,1515.0,1243.0,973.0,871.0,1.17,1.21,7851.0,8045.0,0.74,0.274,0.499,700.0,661.0,46.0,3446.0,3454.0,1159.0,1258.0
Minnesota,2014,0.341,0.364,1757.0,1820.0,600.0,663.0,1.78,0.486,1964.0,1875.0,296.0,457.0,2644.0,2717.0,-205.0,0.444,0.518,0.471,7176.0,7048.0,3189.0,3321.0,0.778,0.756,2301.0,1645.0,1790.0,1244.0,1025.0,908.0,1.22,1.21,8768.0,8549.0,0.744,0.274,0.503,718.0,644.0,33.0,3669.0,3625.0,1105.0,1310.0
Minnesota,2015,0.332,0.367,1223.0,1897.0,406.0,697.0,1.51,0.468,1771.0,1933.0,327.0,449.0,2406.0,2619.0,-217.0,0.438,0.537,0.487,6820.0,6933.0,2986.0,3373.0,0.776,0.759,2110.0,1704.0,1638.0,1294.0,949.0,953.0,1.18,1.26,8016.0,8737.0,0.716,0.266,0.484,668.0,686.0,34.0,3355.0,3572.0,1172.0,1201.0
Minnesota,2016,0.338,0.355,1347.0,2089.0,455.0,742.0,1.63,0.498,1916.0,1857.0,375.0,427.0,2587.0,2558.0,-27.0,0.464,0.524,0.471,6668.0,6962.0,3095.0,3276.0,0.792,0.757,2213.0,1842.0,1753.0,1394.0,821.0,877.0,1.26,1.25,8398.0,8688.0,0.747,0.243,0.498,656.0,638.0,39.0,3408.0,3435.0,1177.0,1167.0
New Orleans,2000,0.339,0.378,1001.0,1086.0,339.0,410.0,1.68,0.475,2023.0,1903.0,480.0,421.0,2635.0,2550.0,-91.0,0.449,0.478,0.448,6533.0,6811.0,2935.0,3048.0,0.758,0.745,2458.0,1807.0,1863.0,1347.0,884.0,966.0,1.24,1.15,8072.0,7853.0,0.732,0.257,0.5,732.0,604.0,51.0,3519.0,3516.0,1206.0,1297.0
New Orleans,2001,0.346,0.36,984.0,1081.0,340.0,389.0,1.61,0.457,1900.0,1748.0,455.0,375.0,2608.0,2436.0,-21.0,0.431,0.456,0.426,6501.0,6501.0,2800.0,2767.0,0.745,0.756,2146.0,1910.0,1599.0,1444.0,1033.0,892.0,1.16,1.13,7539.0,7367.0,0.745,0.298,0.522,665.0,616.0,65.0,3641.0,3328.0,1183.0,1204.0
