Player,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,FK,FL,INT,2006,C%,DPI
J.Cutler,398,351,-0.7%,-2.0%,54.0,25,602,3554,3622,29,3,2014,6,15
R.Fitzpatrick,383,485,6.7%,11.4%,55.3,22,334,2393,2249,17,3,2014,1,8
C.Palmer,285,400,8.5%,16.4%,64.8,12,235,1562,1556,11,0,2014,1,3
N.Foles,264,280,1.8%,2.6%,62.2,15,322,2108,2009,13,1,2014,2,10
D.Anderson,254,282,27.8%,32.1%,82.8,2,102,664,870,5,2,2014,0,0
D.Stanton,238,185,4.2%,0.7%,58.0,18,252,1644,1576,7,1,2014,0,5
A.Dalton,237,238,-3.7%,-3.6%,55.2,23,502,3284,2882,19,0,2014,1,17
K.Cousins,223,213,4.6%,3.9%,46.9,29,212,1625,1431,10,0,2014,2,9
M.Sanchez,210,255,-1.4%,0.7%,58.2,17,334,2226,2018,14,2,2014,2,11
B.Hoyer,166,255,-5.3%,-2.2%,43.1,31,465,3170,2513,12,2,2014,1,12
K.Orton,131,87,-6.8%,-8.3%,42.6,32,478,2808,2647,18,0,2014,3,10
M.Glennon,107,161,-3.1%,1.1%,56.0,20,219,1318,1209,10,2,2014,0,6
C.Kaepernick,91,176,-8.4%,-5.9%,55.9,21,532,3033,2816,19,1,2014,3,10
C.Whitehurst,49,80,-7.2%,-4.6%,39.6,33,200,1208,1050,7,2,2014,0,2
A.Davis,47,-2,-8.8%,-11.2%,37.6,37,312,1819,1687,12,2,2014,3,9
Player,DYAR,YAR,DVOA,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,2014,FL,INT
R.Lindley,-32,-116,-16.5%,-30.3%,37.8,36,99,516,444,2,0,2014,0,4
G.Smith,-33,-21,-12.5%,-12.0%,35.4,39,395,2328,1989,13,2,2014,1,13
C.McCoy,-43,-9,-15.9%,-12.1%,46.1,30,145,947,663,4,3,2014,1,3
S.Hill,-46,-35,-14.1%,-13.4%,38.1,35,248,1538,1195,8,5,2014,1,7
EJ Manuel,-53,-36,-17.1%,-15.2%,19.8,44,136,785,643,5,1,2014,0,3
C.Newton,-105,-46,-14.5%,-12.6%,56.9,19,485,2841,2365,18,3,2014,4,11
D.Carr,-150,-355,-14.9%,-20.1%,38.4,34,622,3071,2969,21,5,2014,4,12
T.Bridgewater,-159,-82,-16.9%,-14.1%,50.2,27,436,2656,1997,14,3,2014,0,11
J.Locker,-171,-215,-27.8%,-32.1%,51.1,26,162,912,594,5,1,2014,1,7
Z.Mettenberger,-211,-235,-28.7%,-30.7%,30.1,41,197,1277,669,8,2,2014,2,7
M.Vick,-228,-273,-36.8%,-41.8%,22.2,42,138,494,408,3,1,2014,1,2
R.Griffin,-374,-372,-34.2%,-34.1%,30.8,40,250,1452,803,4,4,2014,2,6
J.McCown,-665,-576,-41.9%,-37.8%,35.7,38,360,1971,833,11,5,2014,4,14
B.Bortles,-955,-935,-40.7%,-40.0%,21.9,43,530,2554,1310,11,5,2014,0,16
Player,DYAR,YAR,DVOA,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,2015,FL,INT
C.Palmer,1698,1755,34.4%,36.0%,82.2,1,557,4495,5310,35,2,2015,2,11
T.Brady,1312,1269,19.5%,18.5%,64.4,11,660,4536,5234,36,3,2015,2,7
R.Wilson,1190,1159,24.3%,23.4%,74.9,4,526,3744,4311,34,1,2015,2,8
A.Dalton,1135,1059,31.7%,28.9%,73.1,5,409,3103,3676,26,2,2015,2,7
B.Roethlisberger,1114,1056,22.1%,20.4%,76.9,2,489,3809,4214,21,0,2015,0,16
D.Brees,1111,1184,15.8%,17.5%,75.5,3,657,4625,4838,32,2,2015,2,11
K.Cousins,1023,1125,16.9%,19.7%,70.1,6,570,3979,4329,29,2,2015,3,11
P.Rivers,847,780,7.8%,6.3%,59.4,20,704,4503,4755,29,2,2015,2,13
M.Stafford,804,637,8.0%,4.1%,62.6,14,637,3979,4467,32,1,2015,2,13
J.Cutler,659,556,8.6%,5.5%,60.7,17,512,3499,3587,21,1,2015,5,11
C.Newton,630,855,7.6%,14.3%,66.0,9,526,3558,3567,35,0,2015,1,10
D.Carr,582,428,4.1%,0.0%,49.2,26,603,3763,3871,32,3,2015,1,13
R.Fitzpatrick,542,670,3.5%,7.0%,63.6,12,583,3779,3714,31,2,2015,2,15
Player,DYAR,YAR,DVOA,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,2015,FL,INT
T.Taylor,536,486,9.8%,7.9%,67.8,7,417,2810,2790,20,5,2015,1,6
A.Smith,468,359,3.0%,-0.3%,66.5,8,516,3243,3303,20,2,2015,0,7
J.Winston,467,495,2.1%,2.9%,58.6,21,560,3828,3480,22,2,2015,1,15
A.Rodgers,406,258,-1.0%,-4.7%,64.9,10,617,3489,3802,31,4,2015,4,8
E.Manning,404,535,-1.9%,1.1%,60.5,18,646,4225,4063,35,5,2015,3,14
M.Ryan,389,669,-1.9%,4.8%,61.8,15,647,4372,3911,21,6,2015,5,15
B.Hoyer,201,372,-3.0%,3.9%,59.6,19,394,2400,2266,19,4,2015,2,5
T.Bridgewater,187,93,-5.1%,-8.1%,62.7,13,491,2923,2745,14,3,2015,2,9
B.Osweiler,153,140,-3.2%,-3.9%,48.8,27,299,1813,1765,10,2,2015,1,6
J.McCown,110,81,-5.8%,-7.2%,53.9,25,315,1963,1804,12,2,2015,4,4
S.Bradford,107,221,-8.2%,-5.0%,41.8,34,560,3512,3027,19,4,2015,1,14
B.Bortles,54,100,-9.9%,-8.8%,46.4,30,657,4089,3549,35,7,2015,4,18
R.Tannehill,20,67,-10.6%,-9.4%,43.2,32,632,3817,3204,24,5,2015,5,12
Player,DYAR,YAR,DVOA,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,2015,FL,INT
J.Flacco,17,55,-10.5%,-9.1%,40.9,35,428,2637,2213,14,3,2015,2,12
R.Mallett,-33,-127,-13.2%,-19.2%,55.1,22,248,1282,1227,5,0,2015,0,6
M.Hasselbeck,-41,57,-13.4%,-8.0%,55.1,23,273,1588,1424,9,1,2015,2,5
M.Mariota,-53,123,-13.2%,-6.4%,61.0,16,407,2551,2017,19,3,2015,6,10
B.Gabbert,-85,-118,-15.6%,-17.4%,42.6,33,308,1866,1416,10,2,2015,1,7
J.Manziel,-105,-179,-18.4%,-23.4%,54.7,24,241,1350,1048,7,3,2015,3,5
A.Luck,-126,-189,-17.5%,-20.6%,47.6,28,306,1783,1435,15,2,2015,0,12
M.Cassel,-172,-210,-23.7%,-26.5%,33.7,36,216,1190,866,5,2,2015,0,6
C.Kaepernick,-182,-249,-21.5%,-25.3%,47.1,29,273,1446,1168,6,1,2015,1,5
P.Manning,-326,-317,-25.8%,-25.4%,45.0,31,346,2156,1339,9,1,2015,0,17
N.Foles,-353,-428,-27.9%,-31.4%,30.0,37,350,1944,1219,7,2,2015,2,10
