playerID,yearID,InnOuts,PO,A,E,playerID_2,yearID_2,InnOuts_2,PO_2,A_2,E_2
lugoju01,2003,3594.0,241.0,391.0,20.0,lugoju01,2004,3714.0,236.0,422.0,25.0
lugoju01,2004,3714.0,236.0,422.0,25.0,lugoju01,2005,4017.0,310.0,424.0,24.0
mearepa01,1996,3748.0,257.0,344.0,22.0,mearepa01,1997,3394.0,211.0,415.0,20.0
mearepa01,1997,3394.0,211.0,415.0,20.0,mearepa01,1998,3810.0,263.0,412.0,24.0
ordonre01,1996,3787.0,228.0,450.0,27.0,ordonre01,1997,2869.0,171.0,355.0,9.0
ordonre01,1997,2869.0,171.0,355.0,9.0,ordonre01,1998,3867.0,265.0,401.0,17.0
ordonre01,1998,3867.0,265.0,401.0,17.0,ordonre01,1999,3950.0,220.0,416.0,4.0
ordonre01,2001,3678.0,213.0,383.0,12.0,ordonre01,2002,3495.0,208.0,388.0,19.0
pennicl01,2010,3915.0,218.0,496.0,25.0,pennicl01,2011,3816.0,216.0,374.0,22.0
peraljh01,2005,3696.0,207.0,413.0,19.0,peraljh01,2006,3825.0,235.0,459.0,16.0
peraljh01,2006,3825.0,235.0,459.0,16.0,peraljh01,2007,4044.0,249.0,452.0,19.0
peraljh01,2007,4044.0,249.0,452.0,19.0,peraljh01,2008,3813.0,217.0,427.0,14.0
peraljh01,2011,3735.0,218.0,383.0,7.0,peraljh01,2012,3834.0,229.0,359.0,7.0
peraljh01,2012,3834.0,229.0,359.0,7.0,peraljh01,2013,2808.0,140.0,294.0,4.0
peraljh01,2013,2808.0,140.0,294.0,4.0,peraljh01,2014,3975.0,191.0,418.0,12.0
perezne01,1998,4157.0,272.0,516.0,20.0,perezne01,1999,4109.0,260.0,481.0,14.0
perezne01,1999,4109.0,260.0,481.0,14.0,perezne01,2000,4209.0,288.0,523.0,18.0
perezne01,2000,4209.0,288.0,523.0,18.0,perezne01,2001,3480.0,241.0,395.0,15.0
perezne01,2001,3480.0,241.0,395.0,15.0,perezne01,2002,3627.0,251.0,400.0,19.0
ramiral03,2009,3882.0,220.0,410.0,20.0,ramiral03,2010,4131.0,249.0,499.0,20.0
ramiral03,2010,4131.0,249.0,499.0,20.0,ramiral03,2011,4146.0,217.0,457.0,16.0
ramiral03,2011,4146.0,217.0,457.0,16.0,ramiral03,2012,4176.0,227.0,434.0,12.0
ramiral03,2012,4176.0,227.0,434.0,12.0,ramiral03,2013,4203.0,236.0,433.0,22.0
ramiral03,2013,4203.0,236.0,433.0,22.0,ramiral03,2014,4131.0,195.0,486.0,15.0
ramirha01,2006,3969.0,258.0,411.0,26.0,ramirha01,2007,3906.0,225.0,392.0,24.0
ramirha01,2007,3906.0,225.0,392.0,24.0,ramirha01,2008,3906.0,236.0,401.0,22.0
ramirha01,2008,3906.0,236.0,401.0,22.0,ramirha01,2009,3777.0,221.0,349.0,10.0
ramirha01,2009,3777.0,221.0,349.0,10.0,ramirha01,2010,3651.0,200.0,342.0,16.0
renteed01,1996,2767.0,163.0,344.0,11.0,renteed01,1997,3986.0,242.0,415.0,17.0
renteed01,1997,3986.0,242.0,415.0,17.0,renteed01,1998,3393.0,194.0,372.0,20.0
renteed01,1998,3393.0,194.0,372.0,20.0,renteed01,1999,3774.0,219.0,393.0,26.0
renteed01,1999,3774.0,219.0,393.0,26.0,renteed01,2000,3774.0,231.0,379.0,27.0
renteed01,2000,3774.0,231.0,379.0,27.0,renteed01,2001,3459.0,207.0,390.0,24.0
renteed01,2001,3459.0,207.0,390.0,24.0,renteed01,2002,3861.0,202.0,410.0,19.0
renteed01,2002,3861.0,202.0,410.0,19.0,renteed01,2003,4101.0,191.0,439.0,16.0
renteed01,2003,4101.0,191.0,439.0,16.0,renteed01,2004,3921.0,222.0,419.0,11.0
renteed01,2004,3921.0,222.0,419.0,11.0,renteed01,2005,3879.0,227.0,398.0,30.0
renteed01,2005,3879.0,227.0,398.0,30.0,renteed01,2006,3795.0,185.0,399.0,13.0
renteed01,2006,3795.0,185.0,399.0,13.0,renteed01,2007,3057.0,147.0,322.0,11.0
renteed01,2007,3057.0,147.0,322.0,11.0,renteed01,2008,3519.0,197.0,365.0,16.0
renteed01,2008,3519.0,197.0,365.0,16.0,renteed01,2009,3216.0,161.0,299.0,14.0
reyesjo01,2005,4194.0,236.0,428.0,18.0,reyesjo01,2006,3960.0,176.0,390.0,17.0
reyesjo01,2006,3960.0,176.0,390.0,17.0,reyesjo01,2007,4293.0,203.0,445.0,12.0
reyesjo01,2007,4293.0,203.0,445.0,12.0,reyesjo01,2008,4260.0,221.0,422.0,17.0
reyesjo01,2010,3513.0,179.0,362.0,15.0,reyesjo01,2011,3261.0,175.0,361.0,18.0
reyesjo01,2011,3261.0,175.0,361.0,18.0,reyesjo01,2012,4233.0,226.0,419.0,18.0
rodrial01,1996,3803.0,238.0,404.0,15.0,rodrial01,1997,3701.0,209.0,394.0,24.0
rodrial01,1997,3701.0,209.0,394.0,24.0,rodrial01,1998,4168.0,268.0,445.0,18.0
rodrial01,1998,4168.0,268.0,445.0,18.0,rodrial01,1999,3344.0,213.0,382.0,14.0
rodrial01,1999,3344.0,213.0,382.0,14.0,rodrial01,2000,3855.0,243.0,438.0,10.0
rodrial01,2000,3855.0,243.0,438.0,10.0,rodrial01,2001,4185.0,279.0,452.0,18.0
rodrial01,2001,4185.0,279.0,452.0,18.0,rodrial01,2002,4170.0,259.0,472.0,10.0
rodrial01,2002,4170.0,259.0,472.0,10.0,rodrial01,2003,4110.0,227.0,464.0,8.0
rolliji01,2001,4164.0,216.0,426.0,14.0,rolliji01,2002,4029.0,226.0,455.0,14.0
